Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcDOSD	904	229	4	48	5	618	183	0	0	0
bcCXRK	893	119	4	33	3	734	114	0	0	0
bcAHHH	886	144	7	23	3	709	140	0	0	0
bcFULS	878	166	2	24	1	685	151	0	0	0
bcFYXE	870	157	4	34	0	675	144	0	0	0
bcFDHW	863	132	4	25	0	702	118	0	0	0
bcBXGG	857	134	2	41	4	676	120	0	0	0
bcGSWQ	849	137	6	37	2	667	115	0	0	0
bcDDRD	842	116	3	24	1	698	114	0	0	0
bcIHCP	836	132	3	31	3	667	121	0	0	0
bcGYMQ	830	136	4	39	4	647	121	0	0	0
bcCTZO	824	136	6	20	4	658	128	0	0	0
bcGNDB	818	231	2	65	2	518	189	0	0	0
bcDUKR	812	95	5	15	0	697	95	0	0	0
bcDAOO	806	160	1	40	2	603	126	0	0	0
bcFJKE	800	109	4	21	0	666	103	0	0	0
bcFEPV	794	139	3	30	1	621	129	0	0	0
bcHXEJ	789	109	4	26	1	649	103	0	0	0
bcBJYS	783	101	1	20	2	659	91	0	0	0
bcCAAF	778	114	4	25	1	634	112	0	0	0
bcFUAS	773	84	8	12	1	668	90	0	0	0
bcAPRR	767	146	2	19	0	600	128	0	0	0
bcHWOY	762	233	7	30	2	490	246	0	0	0
bcDJBX	757	111	2	22	1	621	102	0	0	0
bcCWDX	753	98	1	26	1	627	90	0	0	0
bcCGHG	749	125	4	22	1	597	120	0	0	0
bcEIUB	744	126	4	38	1	575	106	0	0	0
bcAKVQ	739	112	2	19	2	604	105	0	0	0
bcGECD	735	73	6	22	0	634	70	0	0	0
bcHDNK	731	148	3	42	2	536	150	0	0	0
bcHVXM	726	169	8	46	4	499	166	0	0	0
bcEXHH	722	92	6	28	1	595	96	0	0	0
bcGOLJ	718	96	4	21	0	597	91	0	0	0
bcFXXI	713	135	3	31	3	541	119	0	0	0
bcEVIM	709	90	6	27	1	585	91	0	0	0
bcAJHR	705	126	3	20	1	555	126	0	0	0
bcCIEM	702	114	4	24	1	559	110	0	0	0
bcEZKB	697	112	5	25	1	554	105	0	0	0
bcEOXW	693	165	4	36	2	486	147	0	0	0
bcHYAE	689	110	3	22	1	553	100	0	0	0
bcHRMG	685	72	4	21	1	587	71	0	0	0
bcEJIZ	681	109	3	11	5	553	94	0	0	0
bcBXMB	677	116	1	40	0	520	94	0	0	0
bcEWJV	673	105	3	27	0	538	106	0	0	0
bcFEZT	669	75	4	25	2	563	77	0	0	0
bcDPAD	665	123	3	15	3	521	108	0	0	0
bcIAVQ	661	96	4	17	1	543	87	0	0	0
bcEROX	657	95	3	16	2	541	88	0	0	0
bcGHZR	654	105	4	19	1	525	95	0	0	0
bcEQTT	650	131	8	18	0	493	128	0	0	0
bcFDOK	647	81	4	29	2	531	79	0	0	0
bcADYK	644	123	4	28	1	488	119	0	0	0
bcAXHD	639	146	5	49	2	437	135	0	0	0
bcDEGM	636	128	6	24	1	477	127	0	0	0
bcHTKL	633	76	3	15	1	538	70	0	0	0
bcEUDG	629	107	4	16	1	501	93	0	0	0
bcAJBI	625	124	3	22	2	474	117	0	0	0
bcFZPE	622	104	3	19	2	494	92	0	0	0
bcHFXF	618	85	2	15	0	516	82	0	0	0
bcESCE	615	114	4	22	1	474	102	0	0	0
bcBIFH	611	115	5	20	4	467	90	0	0	0
bcHRJR	608	98	3	34	1	472	90	0	0	0
bcBKHS	604	66	2	18	0	518	62	0	0	0
bcAIPG	600	92	2	25	1	480	89	0	0	0
bcAKYP	597	82	2	18	0	495	76	0	0	0
bcEFOW	593	96	4	26	2	465	97	0	0	0
bcHXUV	589	123	8	25	2	431	116	0	0	0
bcGQRY	586	86	2	28	2	468	83	0	0	0
bcCXGD	582	78	6	20	0	478	72	0	0	0
bcEOQJ	579	70	2	19	2	486	65	0	0	0
