Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcGXKH	1401	124	6	42	5	1224	121	0	0	0
bcBVWD	1389	105	5	26	1	1252	113	0	0	0
bcIEYD	1373	88	2	29	1	1253	89	0	0	0
bcHBGE	1360	130	11	34	1	1184	138	0	0	0
bcCHZB	1345	113	6	18	0	1208	116	0	0	0
bcBZUC	1331	135	4	44	1	1147	137	0	0	0
bcAJGS	1317	103	4	29	0	1181	104	0	0	0
bcAVVP	1304	519	9	87	6	683	472	0	0	0
bcEBVK	1291	127	11	33	1	1119	134	0	0	0
bcAKDK	1278	112	5	26	2	1133	118	0	0	0
bcAWZI	1264	145	8	26	3	1082	147	0	0	0
bcCCNW	1249	85	4	17	0	1143	81	0	0	0
bcEYLP	1237	110	3	28	2	1094	108	0	0	0
bcHFXL	1224	559	13	111	4	537	522	0	0	0
bcBYLS	1211	148	3	29	5	1026	146	0	0	0
bcGMXY	1198	100	8	23	2	1065	107	0	0	0
bcDOKN	1186	98	7	24	1	1056	104	0	0	0
bcERGA	1175	100	7	29	3	1036	100	0	0	0
bcIGOU	1165	85	3	21	2	1054	84	0	0	0
bcFSZJ	1152	98	8	26	3	1017	101	0	0	0
bcCIDL	1142	82	7	22	1	1030	88	0	0	0
bcHHWO	1131	70	3	22	1	1035	68	0	0	0
bcBTLH	1121	111	3	38	1	968	108	0	0	0
bcDFXZ	1112	74	7	20	0	1011	82	0	0	0
bcFRAP	1098	268	8	465	15	342	264	0	0	0
bcAWYE	1087	65	6	32	0	984	69	0	0	0
bcEPHU	1076	493	11	106	11	455	436	0	0	0
bcGCXP	1064	107	3	27	1	926	110	0	0	0
bcEEAO	1054	128	6	26	5	889	133	0	0	0
bcEAUZ	1044	81	3	19	3	938	81	0	0	0
bcBVLT	1034	446	8	79	5	496	414	0	0	0
bcEYVY	1024	322	7	37	3	655	274	0	0	0
bcAELD	1014	101	6	27	2	878	103	0	0	0
bcHPLY	1004	110	3	21	4	866	101	0	0	0
bcBULY	993	545	11	132	2	303	530	0	0	0
bcHYMP	984	93	5	19	0	867	92	0	0	0
bcCXEI	973	87	4	20	2	860	84	0	0	0
bcDWPE	963	87	5	24	1	846	93	0	0	0
bcESWF	953	80	5	25	0	843	80	0	0	0
bcCTRO	942	87	7	17	0	831	83	0	0	0
bcEFYF	932	69	3	21	2	837	68	0	0	0
bcCWZK	922	41	5	15	0	861	49	0	0	0
bcATEE	911	70	2	16	0	823	70	0	0	0
bcBYFM	902	78	4	23	3	794	76	0	0	0
bcGQQY	893	91	3	23	1	775	90	0	0	0
bcEEHQ	884	98	5	15	0	766	98	0	0	0
bcGOCP	873	118	6	34	1	714	120	0	0	0
bcBWGS	863	87	6	20	0	750	92	0	0	0
bcBDAF	853	123	4	35	0	691	114	0	0	0
bcGLWC	843	64	1	21	0	757	65	0	0	0
bcFYPX	832	81	6	24	2	719	86	0	0	0
bcBIPS	822	62	6	15	1	738	67	0	0	0
bcFELY	814	77	4	19	2	712	80	0	0	0
bcCALQ	803	127	7	21	6	642	111	0	0	0
bcIEWS	794	64	5	29	1	695	68	0	0	0
bcBVFA	783	78	3	18	2	682	76	0	0	0
bcBTVV	774	89	0	19	1	665	88	0	0	0
bcGQUN	765	228	7	33	10	487	204	0	0	0
bcEWUH	754	75	5	20	0	654	76	0	0	0
bcEEAP	745	54	2	20	0	669	55	0	0	0
bcETWS	736	64	6	14	2	650	68	0	0	0
bcHCQK	726	94	4	17	0	611	91	0	0	0
bcFYBN	716	73	3	20	2	618	67	0	0	0
bcFYZM	706	53	5	27	0	621	56	0	0	0
bcDYPC	697	65	3	22	1	606	66	0	0	0
bcHBXX	688	374	11	47	1	255	352	0	0	0
bcCIWX	678	81	6	17	0	574	82	0	0	0
bcGAUV	668	171	5	42	1	449	159	0	0	0
bcFZFU	659	50	3	9	0	597	54	0	0	0
bcHYMB	649	66	5	11	1	566	70	0	0	0
bcGBVA	639	269	9	56	2	303	236	0	0	0
bcHCHB	630	86	1	15	0	528	82	0	0	0
bcAHXY	621	81	3	16	2	519	80	0	0	0
bcDJPZ	612	81	2	19	3	507	83	0	0	0
bcIJTT	604	132	4	27	2	439	108	0	0	0
bcGQMB	594	115	2	23	1	453	100	0	0	0
bcECAO	585	44	5	16	0	520	49	0	0	0
bcGQQS	576	94	0	13	3	466	89	0	0	0
bcCXYG	567	55	1	12	0	499	57	0	0	0
bcAKSJ	559	45	3	21	1	489	47	0	0	0
bcATCA	549	75	5	11	0	458	81	0	0	0
bcGOPX	541	40	6	11	2	482	42	0	0	0
bcFVYI	532	70	3	20	0	439	66	0	0	0
bcCARJ	524	55	3	20	1	445	52	0	0	0
bcBLHP	516	67	3	15	0	431	67	0	0	0
bcGXYP	506	86	2	15	1	402	82	0	0	0
bcGOAT	498	59	3	16	4	416	54	0	0	0
bcEUHJ	490	58	2	7	1	422	59	0	0	0
bcEELW	483	60	2	16	0	405	57	0	0	0
bcBJPI	474	53	4	17	0	400	57	0	0	0
bcDISD	466	44	2	9	1	410	46	0	0	0
bcCWQR	459	30	2	18	2	407	32	0	0	0
bcGDSN	453	69	3	10	2	369	69	0	0	0
bcEWUO	446	123	3	9	1	310	112	0	0	0
bcFDUV	439	54	2	17	4	362	46	0	0	0
bcGYFF	433	26	7	8	0	392	31	0	0	0
bcCWSG	426	42	4	8	1	371	46	0	0	0
bcAZUK	420	48	3	9	0	360	47	0	0	0
bcDLMS	413	33	2	9	1	368	35	0	0	0
bcFIZT	407	44	2	8	1	352	45	0	0	0
bcDDRU	402	53	4	14	0	331	52	0	0	0
bcHPYM	396	31	1	9	0	355	31	0	0	0
bcFUSD	391	41	4	6	0	340	40	0	0	0
bcEKGI	385	45	1	11	0	328	43	0	0	0
bcCKOP	380	10	2	6	0	362	13	0	0	0
bcBZLY	375	46	3	14	0	312	46	0	0	0
bcHPEA	369	150	2	55	5	157	132	0	0	0
bcEWMW	363	35	1	12	1	314	35	0	0	0
bcBRKD	359	36	4	7	2	310	40	0	0	0
bcFNQZ	354	21	2	15	0	316	22	0	0	0
bcHVRB	349	61	0	14	0	274	60	0	0	0
bcDLCO	344	62	3	17	1	261	61	0	0	0
bcHQLR	339	94	1	20	1	223	86	0	0	0
bcBJIJ	334	24	1	10	0	299	25	0	0	0
bcENDF	330	40	1	14	0	275	35	0	0	0
bcFMLB	325	39	2	7	0	277	37	0	0	0
bcAKOU	321	90	3	14	1	213	85	0	0	0
bcCJLI	316	109	4	22	1	180	99	0	0	0
bcCLYT	311	28	0	7	1	275	28	0	0	0
bcGIAE	307	40	2	9	3	253	42	0	0	0
bcGPOE	302	9	5	3	1	284	15	0	0	0
bcHAMR	298	69	5	20	2	202	61	0	0	0
bcHEFG	295	38	2	10	2	243	37	0	0	0
bcHUMV	291	64	0	19	0	208	49	0	0	0
bcCZCK	287	14	2	15	0	256	15	0	0	0
bcFZHY	284	15	2	4	0	263	17	0	0	0
bcDARH	280	33	2	11	0	234	35	0	0	0
bcFTMH	276	9	1	2	0	264	11	0	0	0
bcEYKA	272	23	0	8	0	241	21	0	0	0
bcBGCO	269	30	1	6	0	232	30	0	0	0
bcFETJ	266	24	1	4	0	237	22	0	0	0
bcELLM	262	46	3	9	0	204	51	0	0	0
bcICOC	259	29	2	1	1	226	31	0	0	0
bcBVMI	256	65	2	17	1	171	60	0	0	0
bcEWIR	253	102	7	16	2	126	97	0	0	0
bcEKSV	41092	8937	192	19704	1022	11237	10714	0	0	0
bcBKUF	16251	6730	131	1960	73	7357	8454	0	0	0
bcBIKA	12214	6403	102	976	55	4678	7829	0	0	0
bcAWXM	10099	5080	91	1236	52	3640	6057	0	0	0
bcDLNK	8342	4276	60	1123	52	2831	4951	0	0	0
bcFTNM	7124	3218	62	551	41	3252	3506	0	0	0
bcCPHI	6287	3059	50	496	12	2670	3299	0	0	0
bcFVKE	5373	2837	55	482	11	1988	2804	0	0	0
bcBUWI	4709	2397	48	419	17	1828	2517	0	0	0
bcHWUX	4159	522	26	102	24	3485	504	0	0	0
bcBBNM	3761	1793	42	374	9	1543	1992	0	0	0
bcFKKW	3421	1018	23	175	8	2197	977	0	0	0
bcAHER	3166	1389	18	277	8	1474	1368	0	0	0
bcHEDI	2975	1526	28	201	9	1211	1378	0	0	0
bcEUZO	2796	242	10	49	2	2493	233	0	0	0
bcEOUT	2653	142	14	35	2	2460	148	0	0	0
bcDDYI	2541	159	7	49	5	2321	165	0	0	0
bcIJLK	2441	219	8	55	4	2155	219	0	0	0
bcHSRF	2350	182	13	60	5	2090	182	0	0	0
bcFRLG	2281	164	14	36	3	2064	173	0	0	0
bcEVJG	2215	644	21	98	12	1440	579	0	0	0
bcCCHW	2163	176	12	40	2	1933	178	0	0	0
bcGLGC	2111	169	12	53	2	1875	171	0	0	0
bcFPPW	2063	151	13	48	1	1850	161	0	0	0
bcAYEQ	2022	236	5	47	6	1728	217	0	0	0
bcGUWS	1981	356	14	54	1	1556	332	0	0	0
bcFNOJ	1941	113	6	32	1	1789	118	0	0	0
bcIAWP	1904	718	13	88	10	1075	700	0	0	0
bcHMQM	1870	161	11	29	0	1669	166	0	0	0
bcDYVP	1837	147	11	44	3	1632	161	0	0	0
bcBEIK	1803	210	5	51	1	1536	200	0	0	0
bcAHRS	1775	182	6	47	3	1537	188	0	0	0
bcAQWZ	1747	114	7	29	2	1595	119	0	0	0
bcGRGH	1721	950	21	138	5	607	864	0	0	0
bcBAYQ	1697	137	7	42	2	1509	143	0	0	0
bcFWSS	1674	113	7	37	2	1515	118	0	0	0
bcEISG	1653	87	5	31	0	1530	86	0	0	0
bcBKZH	1631	88	9	24	0	1510	90	0	0	0
bcBDOZ	1609	107	7	25	1	1469	111	0	0	0
bcFVXC	1587	143	6	31	1	1406	135	0	0	0
bcBKXF	1570	147	11	39	7	1366	154	0	0	0
bcBOLL	1550	134	5	41	3	1367	141	0	0	0
bcGLJG	1530	138	7	36	2	1347	136	0	0	0
bcIKBL	1514	124	11	42	1	1336	127	0	0	0
bcFALY	1499	118	9	30	3	1339	122	0	0	0
bcEPAM	1479	270	7	33	0	1169	247	0	0	0
bcCCAX	1463	98	5	24	0	1336	102	0	0	0
bcARHZ	1447	171	6	39	1	1230	177	0	0	0
bcFAHS	1433	126	8	28	1	1270	128	0	0	0
bcFHTI	1415	130	9	44	3	1229	130	0	0	0
bcAXSE	1401	126	11	44	5	1215	132	0	0	0
bcHUDA	1389	141	15	39	3	1191	148	0	0	0
bcAGZK	1373	110	6	26	0	1231	110	0	0	0
bcCKCZ	1360	99	8	31	1	1221	101	0	0	0
bcCMEH	1345	93	8	25	2	1217	98	0	0	0
bcHNDC	1331	96	12	27	0	1196	108	0	0	0
bcFCDG	1317	119	8	26	0	1164	127	0	0	0
bcFJXN	1304	111	5	28	2	1158	114	0	0	0
bcHGYI	1291	99	3	34	2	1153	98	0	0	0
bcHHTX	1278	84	5	24	1	1164	88	0	0	0
bcFTAB	1264	94	5	27	2	1136	100	0	0	0
bcDPPT	1249	96	7	28	2	1116	91	0	0	0
bcFRZL	1237	116	8	23	2	1088	114	0	0	0
bcFHTU	1224	103	6	28	1	1086	97	0	0	0
bcEVFK	1211	143	8	45	3	1012	150	0	0	0
bcEUBU	1198	98	3	29	1	1067	97	0	0	0
bcGCRU	1186	124	3	36	3	1020	121	0	0	0
bcHKIW	1175	84	3	25	0	1063	87	0	0	0
bcAYCB	1165	87	4	25	2	1047	86	0	0	0
bcBVGG	1152	101	9	32	1	1009	103	0	0	0
bcBGHS	1142	113	6	34	4	985	115	0	0	0
bcGJAF	1131	82	10	17	5	1017	86	0	0	0
bcBEUG	1121	208	4	41	1	867	191	0	0	0
bcGIBV	1111	93	6	26	2	984	91	0	0	0
bcFYYH	1098	116	5	30	4	943	114	0	0	0
bcHWTY	1087	392	9	57	2	627	351	0	0	0
bcGBDW	1076	85	6	30	2	953	83	0	0	0
bcEWUX	1064	112	5	23	2	922	111	0	0	0
bcBAHJ	1054	70	8	26	0	950	77	0	0	0
bcBKZU	1044	90	8	32	1	913	96	0	0	0
bcAGSB	1034	72	2	19	0	941	74	0	0	0
bcBQPR	1024	525	11	81	1	406	476	0	0	0
bcCJJN	1014	73	4	15	1	921	76	0	0	0
bcEYWY	1004	64	2	21	2	915	65	0	0	0
bcFMPE	993	78	12	19	1	883	90	0	0	0
bcBKFY	983	92	5	21	1	864	92	0	0	0
bcDJHH	973	89	6	27	0	851	92	0	0	0
bcAOET	963	116	5	41	2	799	118	0	0	0
bcGKDF	953	81	2	33	3	834	76	0	0	0
bcFZCR	942	80	2	30	0	830	79	0	0	0
bcGGCT	932	137	4	26	3	762	141	0	0	0
bcGMKP	922	220	6	58	4	634	198	0	0	0
bcAJCU	911	118	8	46	14	725	121	0	0	0
bcBYXS	902	73	7	19	0	803	80	0	0	0
bcCYUU	893	74	7	20	0	792	81	0	0	0
bcFBQS	884	87	7	13	2	775	92	0	0	0
bcGHMX	873	89	3	19	1	761	81	0	0	0
bcHOLG	863	114	3	19	2	725	104	0	0	0
bcAYRR	853	84	8	19	2	740	90	0	0	0
bcGNYQ	843	49	3	13	3	775	47	0	0	0
bcHMRS	832	125	4	27	2	674	119	0	0	0
bcBPQG	822	81	4	26	0	711	81	0	0	0
bcAVNB	813	73	5	18	2	715	76	0	0	0
bcBMYC	803	87	4	22	1	689	81	0	0	0
bcBWTK	794	66	2	19	0	707	67	0	0	0
bcBSZS	783	116	2	17	3	645	115	0	0	0
bcHJBW	774	110	3	18	0	643	104	0	0	0
bcGRKB	764	75	1	22	0	666	75	0	0	0
bcCXMQ	754	64	4	18	0	668	67	0	0	0
bcDQQV	745	49	3	17	1	675	50	0	0	0
bcBQAV	736	70	4	24	1	637	72	0	0	0
bcAFIF	726	92	6	19	0	609	95	0	0	0
bcIECP	716	48	3	11	1	653	49	0	0	0
bcAMQO	706	50	2	11	0	643	51	0	0	0
bcAZEQ	697	80	5	22	4	586	84	0	0	0
bcBAJN	688	54	5	19	1	609	55	0	0	0
bcDYWG	678	72	3	18	2	583	71	0	0	0
bcEONK	667	75	4	18	2	568	81	0	0	0
bcEAPU	659	60	4	22	0	573	59	0	0	0
bcIBYZ	649	44	2	20	0	583	45	0	0	0
bcFIHM	639	80	3	16	2	538	79	0	0	0
bcBTTP	630	60	3	15	1	551	62	0	0	0
bcDXEZ	621	70	6	14	0	531	74	0	0	0
bcENSI	612	91	6	15	2	498	98	0	0	0
bcGWSP	603	55	5	15	0	528	61	0	0	0
bcHYPY	594	60	5	17	3	509	63	0	0	0
bcEIUZ	585	61	2	12	0	510	60	0	0	0
bcFSCK	576	73	4	12	0	487	65	0	0	0
bcAGPP	567	55	0	19	2	491	55	0	0	0
bcDPMC	559	52	4	10	1	492	54	0	0	0
bcHJFE	549	47	4	12	2	484	51	0	0	0
bcDCXX	541	68	2	25	1	445	70	0	0	0
bcECAG	532	56	1	11	3	461	58	0	0	0
bcCNKT	524	55	2	15	0	452	58	0	0	0
bcEPWW	515	42	2	16	0	455	43	0	0	0
bcHBGX	506	80	4	18	3	401	83	0	0	0
bcFJEA	497	68	2	17	2	408	67	0	0	0
bcHLLL	490	65	3	12	3	407	64	0	0	0
bcDGDO	482	48	2	18	2	412	48	0	0	0
bcAGZX	473	58	4	15	1	395	64	0	0	0
bcGCKB	466	45	3	22	1	395	44	0	0	0
bcCODH	459	228	4	43	4	180	194	0	0	0
bcCQIL	453	57	2	7	1	386	54	0	0	0
bcBEAP	446	189	4	32	0	221	166	0	0	0
bcIBML	439	31	1	9	1	397	31	0	0	0
bcFIFF	433	59	2	16	0	356	56	0	0	0
bcDLRP	426	48	2	12	0	364	45	0	0	0
bcFMKV	420	32	2	3	1	382	33	0	0	0
bcERHB	413	44	6	10	0	353	47	0	0	0
bcETVU	407	52	3	11	1	340	54	0	0	0
bcDKMQ	402	43	0	18	3	338	42	0	0	0
bcIFRF	396	16	2	1	0	377	21	0	0	0
bcCQDA	391	38	2	13	1	337	39	0	0	0
bcATBL	385	38	1	11	1	334	38	0	0	0
bcBQBC	380	26	1	7	1	345	27	0	0	0
bcIEVU	375	45	1	13	1	315	43	0	0	0
bcIFPX	369	81	2	19	0	267	78	0	0	0
bcBCHW	363	34	2	8	0	319	34	0	0	0
bcGGKQ	359	49	5	16	0	289	51	0	0	0
bcHPQX	353	35	3	11	0	304	36	0	0	0
bcFCPX	349	42	2	16	2	287	43	0	0	0
bcCVOM	344	33	3	6	0	302	33	0	0	0
bcCRDZ	339	35	5	4	0	295	39	0	0	0
bcGEIF	334	24	3	8	0	299	26	0	0	0
bcHBRF	329	48	1	9	1	270	47	0	0	0
bcDYDS	325	35	3	15	0	272	33	0	0	0
bcENDE	321	33	1	5	0	282	31	0	0	0
bcHCII	316	41	6	8	0	261	47	0	0	0
bcDGHK	311	82	0	17	0	212	71	0	0	0
bcDRWA	306	35	2	3	0	266	36	0	0	0
bcGAAB	302	42	4	16	1	239	41	0	0	0
bcFSUI	298	33	0	10	0	255	33	0	0	0
bcFPCG	294	35	0	10	0	249	34	0	0	0
bcBERL	291	28	1	8	0	254	29	0	0	0
bcFFTL	287	29	2	12	0	244	31	0	0	0
bcHZQI	284	33	0	5	0	246	33	0	0	0
bcDSXC	280	46	1	10	1	222	43	0	0	0
bcETRM	276	35	0	7	1	233	33	0	0	0
bcESIK	272	27	1	8	0	236	27	0	0	0
bcHLUY	269	41	3	10	0	215	39	0	0	0
bcIKBU	266	31	3	12	1	219	34	0	0	0
bcCQDH	262	33	4	3	0	222	36	0	0	0
bcBKPU	259	34	2	7	0	216	36	0	0	0
bcBAHS	256	30	1	7	0	218	30	0	0	0
bcDIIE	253	22	3	6	0	222	22	0	0	0
bcHANK	40420	7717	200	20427	1010	11066	8931	0	0	0
bcHKYQ	16243	8587	137	1614	88	5817	10536	0	0	0
bcCAJP	12203	4779	124	597	44	6659	5302	0	0	0
bcCZZH	10092	4789	80	803	101	4319	5297	0	0	0
bcIFPC	8342	329	52	93	7	7861	357	0	0	0
bcDGQC	7125	3295	58	475	18	3279	3657	0	0	0
bcHYTS	6286	3146	61	629	25	2425	3466	0	0	0
bcECAS	5364	2809	50	500	49	1956	3189	0	0	0
bcIDMD	4705	558	25	294	21	3807	557	0	0	0
bcFOPL	4159	1030	19	134	25	2951	993	0	0	0
bcCNKL	3761	151	15	46	1	3548	164	0	0	0
bcFLZQ	3418	1744	29	345	11	1289	1844	0	0	0
bcBEQM	3166	1390	29	158	15	1574	1359	0	0	0
bcBFEJ	2974	857	22	159	10	1926	793	0	0	0
bcBVKW	2796	215	10	61	2	2508	223	0	0	0
bcDMRW	2653	199	11	50	1	2392	207	0	0	0
bcGEEL	2541	703	21	113	9	1695	650	0	0	0
bcCNLF	2441	277	17	66	7	2074	281	0	0	0
bcHASD	2350	185	9	40	4	2112	182	0	0	0
bcBTUU	2279	247	12	51	9	1960	257	0	0	0
bcEGPA	2215	156	7	39	1	2012	156	0	0	0
bcDETX	2162	453	10	76	9	1614	409	0	0	0
bcIJMJ	2110	1225	23	222	23	617	1185	0	0	0
bcEKDR	2063	163	6	40	5	1849	163	0	0	0
bcBXFS	2022	182	14	37	2	1787	191	0	0	0
bcHMJF	1981	737	15	64	12	1153	635	0	0	0
bcCDIS	1941	109	8	30	0	1794	115	0	0	0
bcBCXI	1904	131	12	46	2	1713	130	0	0	0
bcHZQC	1870	203	10	48	4	1605	200	0	0	0
bcGNKV	1837	85	9	25	0	1718	93	0	0	0
bcIENV	1803	137	8	42	3	1613	138	0	0	0
bcBKDK	1774	136	9	34	1	1594	143	0	0	0
bcIFLI	1747	92	17	29	3	1606	105	0	0	0
bcFWNE	1721	153	9	35	2	1522	155	0	0	0
bcEYSR	1697	177	13	41	3	1463	181	0	0	0
bcDNVD	1674	118	10	33	2	1511	127	0	0	0
bcIHIG	1653	101	7	28	1	1516	104	0	0	0
bcCWPH	1631	150	7	47	1	1426	156	0	0	0
bcHRPY	1609	100	7	42	5	1455	107	0	0	0
bcCEFB	1587	159	11	32	1	1384	158	0	0	0
bcBYIZ	1570	140	3	49	2	1376	142	0	0	0
bcEOXC	1550	107	3	39	3	1398	106	0	0	0
bcFGJY	1530	824	13	122	5	566	774	0	0	0
bcCUMV	1514	147	5	38	1	1323	148	0	0	0
bcENUL	1499	326	4	47	6	1116	293	0	0	0
bcFLNV	1479	156	11	31	2	1279	162	0	0	0
bcICTI	1463	119	8	39	1	1296	120	0	0	0
bcHUHD	1447	113	8	25	2	1299	118	0	0	0
bcHTBJ	1433	138	8	31	2	1254	141	0	0	0
bcCCHH	1415	104	10	30	0	1271	117	0	0	0
bcAAVR	1401	93	7	27	1	1273	93	0	0	0
bcBUDC	1389	133	4	37	2	1213	137	0	0	0
bcDEUG	1373	124	10	26	4	1209	130	0	0	0
bcIFYM	1360	104	9	20	1	1226	103	0	0	0
bcIEAZ	1345	134	10	30	0	1171	141	0	0	0
bcDIRM	1331	101	10	29	2	1189	103	0	0	0
bcDJTT	1317	85	6	27	1	1198	90	0	0	0
bcEJFV	1304	114	6	33	2	1149	115	0	0	0
bcHDPT	1291	130	7	30	1	1123	131	0	0	0
bcHINV	1277	99	8	31	2	1137	104	0	0	0
bcGQRI	1264	85	10	31	0	1138	95	0	0	0
bcDLOL	1249	119	9	31	2	1088	128	0	0	0
bcBAJR	1237	124	9	25	2	1077	133	0	0	0
bcAJVR	1224	107	5	22	1	1089	112	0	0	0
bcDJUU	1211	659	12	100	6	434	627	0	0	0
bcHFWX	1198	130	8	35	1	1024	134	0	0	0
bcFCMO	1186	114	1	31	3	1037	117	0	0	0
bcEUCZ	1175	194	4	60	6	911	184	0	0	0
bcFIIQ	1165	109	4	33	1	1018	111	0	0	0
bcASMM	1152	80	7	23	1	1041	81	0	0	0
bcIHFB	1142	145	4	34	2	957	135	0	0	0
bcEVEG	1131	117	6	33	5	970	120	0	0	0
bcHWXZ	1121	118	2	43	2	956	118	0	0	0
bcBFGM	1111	86	4	18	2	1001	89	0	0	0
bcEICM	1098	179	7	60	2	850	171	0	0	0
bcBVKU	1087	101	7	30	1	948	98	0	0	0
bcGMVG	1076	417	3	44	2	610	367	0	0	0
bcFHNG	1064	96	6	13	1	948	89	0	0	0
bcHKQK	1054	82	9	26	2	935	85	0	0	0
bcCLIQ	1044	127	8	23	1	885	123	0	0	0
bcFIAA	1034	99	2	29	2	902	94	0	0	0
bcEPIF	1024	99	9	30	4	882	101	0	0	0
bcCFPR	1014	75	7	14	0	918	79	0	0	0
bcGKWV	1004	124	11	27	5	837	127	0	0	0
bcIATD	993	74	8	15	0	896	80	0	0	0
bcACUS	983	102	8	17	0	856	101	0	0	0
bcHHJN	973	98	4	28	1	842	101	0	0	0
bcBICK	963	83	7	23	0	850	87	0	0	0
bcAHVD	953	96	4	28	0	825	96	0	0	0
bcDCHM	941	83	4	15	1	838	82	0	0	0
bcDZJR	932	120	5	34	1	772	109	0	0	0
bcCJCW	922	75	4	15	1	827	76	0	0	0
bcAWVK	911	71	6	13	2	819	74	0	0	0
bcDLKN	902	104	4	27	1	766	100	0	0	0
bcAOWA	893	84	8	17	0	784	93	0	0	0
bcCCTF	884	88	3	26	1	766	84	0	0	0
bcFNSX	872	42	3	15	0	812	45	0	0	0
bcFGMM	862	89	4	23	1	745	90	0	0	0
bcBBTD	853	53	5	18	1	776	58	0	0	0
bcFRQH	843	98	1	29	1	714	96	0	0	0
bcCIAW	832	107	5	24	2	694	108	0	0	0
bcCOPU	822	61	5	11	2	743	63	0	0	0
bcDDTC	813	78	8	21	2	704	85	0	0	0
bcDGSD	803	77	6	28	2	690	85	0	0	0
bcFMRH	794	76	3	24	0	691	79	0	0	0
bcDOON	783	95	4	25	3	656	99	0	0	0
bcEYTT	774	88	3	17	1	665	89	0	0	0
bcBJUU	764	87	2	19	1	655	88	0	0	0
bcAOQE	754	65	9	16	0	664	74	0	0	0
bcFWRU	745	71	4	15	3	652	73	0	0	0
bcDENA	736	63	2	21	1	649	59	0	0	0
bcBRPK	726	70	3	11	1	641	74	0	0	0
bcIDFG	716	67	5	19	2	623	71	0	0	0
bcAUOY	706	103	4	22	1	576	105	0	0	0
bcFAWH	697	76	5	20	1	595	75	0	0	0
bcIALD	688	62	4	20	3	599	63	0	0	0
bcCGYM	678	72	4	9	0	593	61	0	0	0
bcCRBM	667	113	5	30	2	517	103	0	0	0
