Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcCFFZ	63723	29478	1493	14045	351	18356	43160	0	0	0
bcGZBS	16277	6428	138	2711	132	6868	7567	0	0	0
bcDNIP	12216	5624	116	886	120	5470	6817	0	0	0
bcCXYS	10101	4427	89	512	57	5016	5147	0	0	0
bcHXZS	8344	4448	101	659	36	3100	5327	0	0	0
bcBIJX	7124	3059	65	463	38	3499	3326	0	0	0
bcHITR	6288	2897	47	542	74	2728	2947	0	0	0
bcAWHO	5382	1331	36	2173	121	1721	1329	0	0	0
bcEBLL	4709	350	18	103	8	4230	382	0	0	0
bcETLT	4159	1502	44	187	39	2387	1424	0	0	0
bcGRQD	3761	1932	35	162	17	1615	1871	0	0	0
bcEITA	3422	764	22	193	10	2433	759	0	0	0
bcCKSE	3168	284	20	76	8	2780	299	0	0	0
bcHMER	2976	216	16	65	2	2677	226	0	0	0
bcEHVN	2796	1217	39	149	17	1374	1149	0	0	0
bcCPRH	2654	1171	19	154	7	1303	1142	0	0	0
bcEXBF	2542	188	17	62	3	2272	204	0	0	0
bcBXPU	2442	575	20	93	20	1734	523	0	0	0
bcCQGQ	2350	152	10	27	0	2161	158	0	0	0
bcHAWH	2282	198	6	65	2	2011	191	0	0	0
bcAKTE	2215	131	8	31	5	2040	134	0	0	0
bcFDHC	2163	144	11	32	2	1974	147	0	0	0
bcHGKU	2111	596	15	88	7	1405	548	0	0	0
bcGZFV	2063	160	10	41	6	1846	158	0	0	0
bcBXIW	2023	163	7	40	0	1813	167	0	0	0
bcHFOP	1982	131	11	39	2	1799	138	0	0	0
bcBKVR	1941	207	12	33	3	1686	207	0	0	0
bcDQZK	1905	142	9	45	2	1707	147	0	0	0
bcDYSL	1870	156	15	47	2	1650	171	0	0	0
bcDUWI	1837	945	16	139	8	729	904	0	0	0
bcFQOE	1804	153	9	33	0	1609	160	0	0	0
bcEVMM	1775	166	12	44	3	1550	164	0	0	0
bcADLE	1747	152	8	44	1	1542	163	0	0	0
bcIACH	1721	174	11	36	2	1498	183	0	0	0
bcCBDS	1697	150	11	38	3	1495	157	0	0	0
bcHMWC	1674	133	6	25	2	1508	135	0	0	0
bcFTVU	1653	94	8	32	2	1517	101	0	0	0
bcGPYR	1631	114	13	37	1	1466	117	0	0	0
bcDRBY	1609	875	14	109	5	606	799	0	0	0
bcBWQW	1587	105	8	28	1	1445	112	0	0	0
bcCTWB	1570	138	6	38	3	1385	143	0	0	0
bcBLXV	1550	167	10	49	2	1322	171	0	0	0
bcHRCS	1530	127	11	24	1	1367	135	0	0	0
bcCWBQ	1514	114	8	22	1	1369	121	0	0	0
bcGAUT	1499	118	9	22	1	1349	123	0	0	0
bcDTEJ	1480	95	8	20	2	1355	98	0	0	0
bcHMEZ	1463	795	16	151	4	497	731	0	0	0
bcGDFN	1447	102	9	31	0	1305	113	0	0	0
bcANRS	1433	785	13	88	5	542	732	0	0	0
bcFMJT	1416	71	6	17	0	1322	72	0	0	0
