Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcGQSJ	370	125	4	18	0	223	96	0	0	0
bcGXVD	365	80	3	16	1	265	77	0	0	0
bcBEXE	358	66	3	18	2	269	62	0	0	0
bcANHB	353	158	3	50	3	139	140	0	0	0
bcEVMR	347	104	4	7	0	232	95	0	0	0
bcBJMT	342	102	0	18	2	220	90	0	0	0
bcFXFW	336	83	4	8	0	241	75	0	0	0
bcHJUU	330	81	1	26	0	222	71	0	0	0
bcDHIJ	325	53	4	10	0	258	50	0	0	0
bcFYCR	320	76	9	25	0	210	71	0	0	0
bcGEAD	314	84	3	16	2	209	66	0	0	0
bcEPWE	309	71	9	8	0	221	56	0	0	0
bcBZYS	303	118	3	22	1	159	89	0	0	0
bcARJS	298	138	3	29	3	125	101	0	0	0
bcFFZQ	293	72	2	17	0	202	66	0	0	0
bcDQJL	287	57	3	10	0	217	53	0	0	0
bcGDVU	282	198	3	5	1	75	125	0	0	0
bcBORC	277	71	2	15	0	189	66	0	0	0
bcFOER	272	53	0	20	0	199	40	0	0	0
bcDDEQ	267	60	1	18	1	187	56	0	0	0
bcHKMG	261	66	1	17	1	176	52	0	0	0
bcEFPT	257	60	0	15	4	178	50	0	0	0
bcFZFM	253	55	2	7	0	189	52	0	0	0
bcBRIW	32810	22148	380	4099	311	5872	20394	0	0	0
bcFRQF	22926	15693	268	2387	221	4357	13766	0	0	0
bcGRGS	18086	12332	143	1979	107	3525	12187	0	0	0
bcGVQF	14617	9970	147	1684	109	2707	8254	0	0	0
bcDAWL	12198	8321	137	1312	38	2390	7062	0	0	0
bcFALC	10162	6732	119	1047	85	2179	5634	0	0	0
bcDCNM	8513	4797	92	585	49	2990	3938	0	0	0
bcCAXJ	6951	4268	53	887	27	1716	3523	0	0	0
bcBNAX	5606	2591	72	1529	82	1332	1921	0	0	0
bcCSWH	4606	2630	45	440	23	1468	2164	0	0	0
bcGBMI	3938	2413	35	498	19	973	1774	0	0	0
bcFJOP	3447	2371	36	418	51	571	1771	0	0	0
bcHQXS	3007	626	26	1842	76	437	541	0	0	0
bcBYON	2653	1722	28	337	12	554	1688	0	0	0
bcDTHT	2420	548	20	109	5	1738	481	0	0	0
bcCSEM	2209	1351	18	278	13	549	950	0	0	0
bcBRAG	2050	1302	24	270	21	433	866	0	0	0
bcGUMA	1923	1245	14	222	11	431	893	0	0	0
bcAAVT	1805	1029	27	247	10	492	762	0	0	0
bcAEGL	1719	1075	16	257	9	362	739	0	0	0
bcCLHA	1634	267	18	54	6	1289	256	0	0	0
bcFEGZ	1573	954	21	188	2	408	726	0	0	0
bcDINT	1512	962	21	178	4	347	668	0	0	0
bcFZZJ	1454	837	20	188	5	404	676	0	0	0
bcIFVK	1414	324	13	40	4	1033	278	0	0	0
bcDLXV	1374	671	11	162	12	518	449	0	0	0
bcFWEO	1339	802	13	191	5	328	575	0	0	0
bcALTO	1299	303	11	47	4	934	253	0	0	0
bcBVOK	1268	321	17	68	1	861	296	0	0	0
bcBIDI	1238	266	14	54	5	899	223	0	0	0
bcDSQX	1212	247	9	65	5	886	222	0	0	0
bcCJSY	1185	229	11	60	5	880	217	0	0	0
bcDRIV	1162	361	13	99	1	688	271	0	0	0
bcCXEP	1139	192	6	51	1	889	174	0	0	0
bcHELA	1117	210	14	74	3	816	190	0	0	0
bcHSYV	1098	193	19	50	1	835	194	0	0	0
bcIDRG	1080	221	12	43	2	802	205	0	0	0
bcCEWT	1062	552	13	113	7	377	400	0	0	0
bcIGFY	1043	176	7	36	3	821	149	0	0	0
