Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcGVLG	106413	74487	1162	11874	1017	17873	73482	0	0	0
bcGBRJ	30296	21450	297	3844	73	4632	20200	0	0	0
bcDXPJ	21875	14380	228	2671	198	4398	14132	0	0	0
bcDDTO	17637	10889	162	2681	172	3733	11019	0	0	0
bcDHUH	14102	9644	104	1697	36	2621	8576	0	0	0
bcCLMO	11885	7983	102	1508	35	2257	7244	0	0	0
bcFCAK	9886	6792	93	1023	39	1939	5861	0	0	0
bcECOI	8366	5609	77	992	32	1656	5180	0	0	0
bcDQVJ	6700	4106	69	667	30	1828	3179	0	0	0
bcGAYR	5434	3442	57	763	11	1161	2542	0	0	0
bcAIDR	4491	3043	43	545	19	841	2439	0	0	0
bcHXDM	3861	1615	26	229	10	1981	1110	0	0	0
bcBPMH	3370	2307	38	319	11	695	1881	0	0	0
bcFRMZ	2939	1658	37	336	18	890	1218	0	0	0
bcGBHK	2626	1536	29	350	19	692	1035	0	0	0
bcCUQZ	2383	1425	28	363	19	548	983	0	0	0
bcHVRP	2191	752	24	148	20	1247	571	0	0	0
bcBDYK	2026	402	15	85	5	1519	375	0	0	0
bcEINA	1902	352	23	102	1	1424	328	0	0	0
bcGSOP	1790	339	14	66	4	1367	279	0	0	0
bcAIEN	1710	277	15	59	8	1351	260	0	0	0
bcEEII	1625	922	13	182	4	504	608	0	0	0
bcGDOZ	1562	912	22	175	9	444	707	0	0	0
bcGZCX	1504	315	12	86	1	1090	278	0	0	0
bcEAXC	1448	764	9	164	12	499	555	0	0	0
bcAXVP	1406	378	13	101	24	890	312	0	0	0
bcCXDD	1369	209	12	42	1	1105	176	0	0	0
bcEGEW	1332	207	13	43	0	1069	182	0	0	0
bcIHKQ	1294	296	14	62	3	919	233	0	0	0
bcCQOL	1264	686	18	155	4	401	476	0	0	0
bcCAWB	1234	266	21	47	1	899	222	0	0	0
bcCBTQ	1208	141	13	53	4	997	143	0	0	0
bcEYFT	1181	198	19	71	1	892	194	0	0	0
bcHTAP	1159	180	6	41	2	930	155	0	0	0
bcDZVC	1135	724	9	127	9	266	506	0	0	0
bcCZJG	1114	637	6	30	0	441	462	0	0	0
bcHJUK	1095	201	12	56	1	825	191	0	0	0
bcHTAS	1077	171	10	50	4	842	161	0	0	0
bcBCKG	1060	183	10	45	4	818	178	0	0	0
bcFCBP	1041	247	10	48	3	733	217	0	0	0
bcHSAP	1026	140	10	37	2	837	119	0	0	0
bcGOTZ	1010	503	4	132	1	370	349	0	0	0
bcHEMY	995	472	12	96	6	409	335	0	0	0
bcCYEE	982	194	9	38	1	740	177	0	0	0
bcGBPV	967	223	10	60	1	673	193	0	0	0
bcDPJO	955	206	5	40	6	698	189	0	0	0
bcGJQM	943	259	10	65	4	605	252	0	0	0
bcFEBG	930	186	12	31	1	700	173	0	0	0
bcBYCS	919	191	7	36	0	685	169	0	0	0
bcIAJQ	907	297	7	68	4	531	245	0	0	0
bcAQKB	896	313	7	63	4	509	254	0	0	0
bcAHMG	886	236	9	39	2	600	192	0	0	0
bcBGWJ	876	162	12	35	1	666	154	0	0	0
bcDJAE	866	170	9	34	3	650	160	0	0	0
bcAXGL	855	536	3	125	6	185	379	0	0	0
bcEEPM	845	147	8	32	1	657	143	0	0	0
bcGFRD	835	191	7	30	5	602	167	0	0	0
bcDQYF	825	132	8	31	2	652	114	0	0	0
bcFORB	817	385	6	73	4	349	285	0	0	0
bcFWWO	809	147	6	30	2	624	136	0	0	0
bcEOIC	800	155	12	36	2	595	142	0	0	0
bcBDVB	791	155	8	40	5	583	153	0	0	0
bcHRGC	783	112	6	26	0	639	113	0	0	0
bcHZQI	775	166	9	46	1	553	158	0	0	0
bcFXVO	767	156	10	23	3	575	159	0	0	0
bcERXY	759	135	8	30	1	585	135	0	0	0
bcFMSD	751	112	4	19	1	615	96	0	0	0
bcHHSE	743	156	12	30	2	543	146	0	0	0
bcESHY	735	127	4	24	3	577	103	0	0	0
bcFTVO	728	118	5	28	0	577	108	0	0	0
bcGEPB	720	180	5	44	3	488	157	0	0	0
bcALRS	713	146	11	34	3	519	143	0	0	0
bcFVAQ	707	103	7	29	1	567	87	0	0	0
bcASSS	700	144	3	33	1	519	126	0	0	0
bcCUWF	693	330	13	71	6	273	260	0	0	0
bcFXCR	686	163	5	51	5	462	152	0	0	0
bcGYYL	679	129	7	29	0	514	119	0	0	0
bcBUIC	672	147	4	30	4	487	132	0	0	0
bcCTQZ	665	381	5	119	3	157	265	0	0	0
bcFSIG	659	136	4	32	1	486	112	0	0	0
bcEAON	652	168	7	16	1	460	145	0	0	0
bcBNRJ	645	118	6	55	3	463	113	0	0	0
bcFHIU	640	140	3	28	4	465	117	0	0	0
bcBWLB	633	105	3	37	1	487	99	0	0	0
bcIFLR	626	108	5	31	0	482	98	0	0	0
bcACCL	620	146	9	25	2	438	132	0	0	0
bcFRUS	613	127	5	32	3	446	112	0	0	0
bcDLLK	607	119	6	25	3	454	117	0	0	0
bcGZQM	600	137	7	38	0	418	119	0	0	0
bcHYRJ	593	240	11	25	0	317	176	0	0	0
bcFQVV	587	95	6	17	1	468	94	0	0	0
bcDBRR	581	316	7	68	4	186	256	0	0	0
bcGLYG	575	331	12	86	6	140	275	0	0	0
bcENZB	568	126	4	32	2	404	111	0	0	0
bcHRUV	562	114	4	25	1	418	96	0	0	0
bcHUIV	555	104	7	20	1	423	92	0	0	0
bcCJRY	549	136	3	26	1	383	115	0	0	0
bcFXWU	542	101	11	17	1	412	100	0	0	0
bcHCLA	536	338	9	76	3	110	237	0	0	0
bcFWNE	529	164	4	19	0	342	119	0	0	0
bcCEON	523	290	5	80	2	146	224	0	0	0
bcDRDU	517	108	4	28	0	377	87	0	0	0
bcCNRM	510	106	4	22	1	377	98	0	0	0
bcGZNI	504	65	5	17	0	417	63	0	0	0
bcEXAG	499	145	4	27	4	319	120	0	0	0
bcEBTX	493	82	9	23	1	378	82	0	0	0
bcAALM	487	108	9	35	1	334	108	0	0	0
bcAVXG	481	151	5	30	2	293	130	0	0	0
bcAIMN	474	119	1	27	1	326	107	0	0	0
bcERYL	468	117	2	17	0	332	110	0	0	0
bcFGGC	462	91	6	14	2	349	84	0	0	0
bcBLJC	456	89	4	24	3	336	80	0	0	0
bcIFEW	450	107	1	18	1	323	90	0	0	0
bcHDMN	443	135	5	201	9	93	109	0	0	0
bcHTEU	438	83	1	17	0	337	66	0	0	0
bcHZSF	432	87	4	16	0	325	76	0	0	0
bcADAH	427	98	5	22	2	300	79	0	0	0
bcCNAD	421	78	1	26	0	316	66	0	0	0
bcHFPO	416	127	4	28	5	252	101	0	0	0
bcCBXN	410	271	8	29	4	98	177	0	0	0
bcFJIH	404	102	6	11	4	281	83	0	0	0
bcARPD	398	107	5	27	2	257	93	0	0	0
bcASUP	392	96	3	19	0	274	93	0	0	0
bcDUBS	387	80	4	14	0	289	72	0	0	0
bcGBCK	380	183	3	47	2	145	134	0	0	0
bcGFAT	374	90	2	24	1	257	85	0	0	0
bcCODB	369	228	4	44	0	93	155	0	0	0
bcBCTA	363	208	4	65	0	86	136	0	0	0
bcEZEN	358	99	4	16	1	238	81	0	0	0
bcFLPU	352	97	3	21	2	229	94	0	0	0
bcFGWC	346	92	4	23	1	226	77	0	0	0
bcELVC	341	141	4	102	9	85	106	0	0	0
bcBYRF	335	160	1	28	0	146	115	0	0	0
bcCEUB	330	177	0	37	0	116	134	0	0	0
bcGAWG	324	90	5	20	1	208	77	0	0	0
bcHFTT	319	59	3	6	1	250	51	0	0	0
bcFHYH	313	61	3	10	1	238	57	0	0	0
bcEKEP	308	109	6	17	0	176	85	0	0	0
bcEFFF	302	100	2	23	0	177	82	0	0	0
bcDLXG	297	115	6	22	2	152	93	0	0	0
bcAWFZ	292	100	6	25	0	161	73	0	0	0
bcACZA	286	147	2	26	0	111	104	0	0	0
bcDCYM	281	56	3	18	1	203	55	0	0	0
bcEGPT	276	59	2	9	0	206	47	0	0	0
bcBFRC	271	73	2	5	0	191	55	0	0	0
bcHKVY	266	44	1	13	0	208	39	0	0	0
bcCBPV	261	59	2	13	1	186	50	0	0	0
bcENIB	257	75	1	21	2	158	59	0	0	0
bcAYEI	252	61	1	9	0	181	52	0	0	0
bcIEAD	91395	61309	907	9422	322	19435	71373	0	0	0
bcGOZI	30199	19983	303	3253	265	6395	19903	0	0	0
bcEBDB	21867	15172	260	2628	309	3498	13921	0	0	0
bcAKMZ	17635	12138	157	1971	37	3332	11638	0	0	0
bcAQIP	14086	8757	154	1166	47	3962	7775	0	0	0
bcAYUP	11878	7789	119	1507	27	2436	6892	0	0	0
bcFTSF	9880	6574	99	1042	144	2021	5081	0	0	0
bcEHFW	8363	5474	80	994	40	1775	4650	0	0	0
bcBJQK	6699	3660	57	1428	55	1499	3250	0	0	0
bcFISD	5433	3070	52	530	15	1766	2746	0	0	0
bcHWKI	4490	2932	32	461	18	1047	2146	0	0	0
bcDECY	3856	2473	51	477	17	838	2043	0	0	0
bcAEUS	3367	2091	35	390	9	842	1949	0	0	0
bcGSXB	2939	518	26	97	7	2291	459	0	0	0
bcFIUR	2626	702	11	1392	64	457	538	0	0	0
bcAWAR	2382	923	30	91	12	1326	706	0	0	0
bcEPJP	2190	961	26	120	30	1053	643	0	0	0
bcIHPG	2026	372	18	71	5	1560	325	0	0	0
bcANPW	1901	1136	13	273	10	469	882	0	0	0
bcHNJY	1789	796	18	101	11	863	585	0	0	0
bcIAZJ	1709	631	13	160	7	898	503	0	0	0
bcFOTA	1625	966	11	246	10	392	714	0	0	0
bcCPDY	1562	968	15	131	4	444	710	0	0	0
bcFOAL	1504	241	12	67	4	1180	217	0	0	0
bcBEJB	1448	345	6	68	2	1027	311	0	0	0
bcDQVR	1406	277	17	65	3	1044	257	0	0	0
bcEFES	1369	333	8	66	4	958	291	0	0	0
bcBVNE	1332	492	14	128	7	691	359	0	0	0
bcDKKL	1294	281	20	59	1	933	275	0	0	0
bcCIEY	1264	229	8	58	3	966	221	0	0	0
bcBCTX	1234	178	13	43	0	1000	178	0	0	0
bcCMPK	1208	247	9	38	7	907	231	0	0	0
bcEPOF	1181	208	12	36	5	920	189	0	0	0
bcBJUG	1159	562	11	79	2	505	455	0	0	0
bcBQZK	1135	163	9	39	1	923	154	0	0	0
bcFDQM	1114	165	13	32	3	901	159	0	0	0
bcHOWS	1095	202	15	50	1	827	193	0	0	0
bcBHCJ	1077	161	6	40	3	867	151	0	0	0
bcDQYK	1059	262	5	60	1	731	214	0	0	0
bcELMM	1041	624	7	108	6	296	450	0	0	0
bcHSKE	1026	727	2	84	3	210	459	0	0	0
bcBNAK	1010	148	15	46	5	796	150	0	0	0
bcEQYR	995	607	9	155	2	222	463	0	0	0
bcAONX	981	523	12	136	6	304	430	0	0	0
bcGEYT	967	188	5	37	4	733	165	0	0	0
bcHEOA	954	185	8	36	2	723	165	0	0	0
bcBVLF	943	139	2	41	0	761	125	0	0	0
bcDAUV	930	244	7	42	3	634	186	0	0	0
bcEEGK	919	153	7	34	2	723	140	0	0	0
bcEFMZ	907	179	8	40	3	677	164	0	0	0
bcIGBQ	896	158	7	31	2	698	144	0	0	0
bcIFMH	886	174	8	40	3	661	161	0	0	0
bcBAWR	876	201	9	44	2	620	171	0	0	0
bcHAKO	866	162	2	53	3	646	136	0	0	0
bcDYVA	855	169	11	35	4	636	170	0	0	0
bcGSPP	845	205	7	44	7	582	197	0	0	0
bcHMKL	835	115	12	27	0	681	115	0	0	0
bcBBGV	825	215	7	34	3	566	186	0	0	0
bcAHPO	817	126	6	40	1	644	126	0	0	0
bcFSKV	809	173	5	28	2	601	153	0	0	0
bcGCGZ	800	274	6	26	0	494	197	0	0	0
bcEUFC	791	152	7	33	1	598	136	0	0	0
bcDZWM	783	132	9	35	2	605	122	0	0	0
bcGSEC	775	151	7	45	1	571	134	0	0	0
bcCQMT	767	159	8	43	0	557	137	0	0	0
bcHFCK	759	346	9	64	3	337	266	0	0	0
bcFMKM	751	165	10	27	4	545	138	0	0	0
bcCRRD	743	136	5	33	0	569	113	0	0	0
bcDYWZ	735	132	5	27	1	570	113	0	0	0
bcEWOC	728	117	3	21	0	587	104	0	0	0
bcCRHC	720	198	7	46	5	464	184	0	0	0
bcBANK	713	185	3	34	1	490	170	0	0	0
bcFKMN	707	406	8	77	5	211	273	0	0	0
bcFJPH	700	109	5	26	1	559	103	0	0	0
bcCTZG	693	123	7	28	3	532	121	0	0	0
bcHIZR	686	127	1	34	3	521	112	0	0	0
bcBOIT	679	143	10	21	2	503	130	0	0	0
bcHSED	672	175	4	41	2	450	142	0	0	0
bcENQS	665	117	8	42	2	496	107	0	0	0
bcDICC	659	113	6	30	1	509	97	0	0	0
bcFGPN	652	179	4	31	0	438	142	0	0	0
bcCRJI	645	108	3	33	1	500	90	0	0	0
bcDHEJ	640	130	0	22	1	487	111	0	0	0
bcGJCJ	633	318	2	72	2	239	243	0	0	0
bcFXDV	626	193	7	38	2	386	164	0	0	0
bcBPBC	620	165	4	37	2	412	149	0	0	0
bcAMPR	613	146	5	28	0	434	123	0	0	0
bcGVQL	607	130	8	29	2	438	106	0	0	0
bcDPVV	600	120	8	27	3	442	103	0	0	0
bcHNAO	593	350	7	94	2	140	252	0	0	0
bcASHR	587	110	9	20	1	447	101	0	0	0
bcCMAY	581	127	0	28	2	424	101	0	0	0
bcBMQI	574	85	6	23	3	457	79	0	0	0
bcAMNK	568	315	2	52	3	196	205	0	0	0
bcDBZX	562	112	3	27	3	417	104	0	0	0
bcGHCP	555	112	1	21	3	418	102	0	0	0
bcERVS	549	139	4	22	8	376	122	0	0	0
bcAVNQ	542	274	7	74	3	184	200	0	0	0
bcGASL	536	103	3	18	3	409	87	0	0	0
bcDNWB	529	137	6	28	2	356	130	0	0	0
bcEXCD	523	200	6	46	1	270	145	0	0	0
bcGGLS	517	156	2	22	1	336	141	0	0	0
bcBLUQ	510	173	4	27	1	305	149	0	0	0
bcEUDU	504	204	5	38	1	256	165	0	0	0
bcEZKZ	499	80	1	26	1	391	66	0	0	0
bcAPOU	493	118	3	28	3	341	99	0	0	0
bcFTZK	487	137	6	10	0	334	102	0	0	0
bcGFCM	481	109	4	21	2	345	104	0	0	0
bcDWRE	474	146	3	33	0	292	111	0	0	0
bcFYVK	468	78	3	19	2	366	64	0	0	0
bcFISX	462	80	2	16	0	364	78	0	0	0
bcCZQB	456	91	2	10	2	351	82	0	0	0
bcEICU	449	76	2	23	1	347	71	0	0	0
bcFTAG	443	82	2	27	0	332	74	0	0	0
bcGRVH	438	75	4	17	1	341	76	0	0	0
bcFQSV	432	82	4	25	3	318	75	0	0	0
bcBXBL	426	224	1	17	1	183	156	0	0	0
bcAVAB	421	107	3	18	1	292	103	0	0	0
bcDFEV	416	98	4	19	0	295	79	0	0	0
bcGEMX	410	127	4	25	0	254	120	0	0	0
bcBQLB	404	120	0	21	2	261	91	0	0	0
bcHVEE	398	64	4	16	1	313	61	0	0	0
bcBNXL	392	76	5	23	0	288	66	0	0	0
bcAFJR	386	91	3	17	0	275	78	0	0	0
bcHBBP	380	50	4	15	0	311	50	0	0	0
bcDORW	374	94	1	13	0	266	80	0	0	0
bcGNCH	369	81	3	12	0	273	76	0	0	0
bcHTVX	363	87	3	21	0	252	81	0	0	0
bcEIKL	358	67	1	19	0	271	56	0	0	0
bcHXWM	352	75	4	36	4	233	71	0	0	0
bcDVIN	346	138	2	36	1	169	118	0	0	0
bcFELY	341	72	3	24	2	240	69	0	0	0
bcAWGU	335	111	4	26	0	194	88	0	0	0
bcBPGG	329	166	4	54	2	103	122	0	0	0
bcBIYX	324	88	1	20	1	214	70	0	0	0
bcCVTJ	319	85	2	24	5	203	80	0	0	0
bcHEJO	313	85	1	20	3	204	63	0	0	0
bcIBKP	308	112	1	21	1	173	77	0	0	0
bcCXYK	302	68	4	15	2	213	65	0	0	0
bcHFKF	297	75	3	7	2	210	67	0	0	0
bcCEMD	292	70	3	13	0	206	65	0	0	0
bcEWVU	286	56	1	12	0	217	43	0	0	0
bcGBNR	281	67	3	18	1	192	60	0	0	0
bcASPS	276	76	2	23	2	173	68	0	0	0
bcDSRZ	271	96	2	12	0	161	90	0	0	0
bcGCFT	266	59	2	22	5	178	56	0	0	0
bcGMPR	261	81	4	20	1	155	77	0	0	0
bcCZHT	257	39	5	11	4	198	40	0	0	0
bcCEZF	252	57	0	15	1	179	42	0	0	0
bcELNP	80125	54401	878	8416	254	16176	54879	0	0	0
bcBKMW	30011	20408	310	3349	105	5839	21198	0	0	0
bcFUAH	21849	10639	198	6442	231	4339	10161	0	0	0
bcCGGA	17588	11484	198	2054	85	3767	9617	0	0	0
bcBASU	14081	9293	160	1419	61	3148	8695	0	0	0
bcEITA	11875	8108	105	1459	39	2164	7020	0	0	0
bcGSAD	9873	6421	110	1046	38	2258	4792	0	0	0
bcEIVY	8355	3418	43	3287	172	1435	2766	0	0	0
bcCJEI	6699	4354	69	628	35	1613	3661	0	0	0
bcGXUQ	5426	3546	38	608	45	1189	3459	0	0	0
bcFPVM	4487	2619	45	473	41	1309	2093	0	0	0
bcFITN	3856	2379	25	539	17	896	1699	0	0	0
bcIBDG	3367	1645	35	378	15	1294	1192	0	0	0
bcBCRY	2934	549	26	90	14	2255	491	0	0	0
bcCPVT	2625	1015	18	122	20	1450	743	0	0	0
bcBDMS	2382	1418	20	322	5	617	1052	0	0	0
bcGPBA	2190	1456	18	281	8	427	1027	0	0	0
bcHUEY	2025	1268	20	148	8	581	1074	0	0	0
bcDCEO	1901	1192	22	195	4	488	840	0	0	0
bcFPHM	1789	394	17	91	1	1286	370	0	0	0
bcHEIG	1708	711	22	58	3	914	491	0	0	0
bcHZPS	1624	252	18	58	2	1294	247	0	0	0
bcGEUQ	1562	388	10	82	6	1076	370	0	0	0
bcAQIQ	1503	731	20	159	8	585	603	0	0	0
bcHOQD	1448	747	20	149	5	527	532	0	0	0
bcDFDL	1406	259	7	80	4	1056	233	0	0	0
bcGNEH	1369	555	9	117	6	682	429	0	0	0
bcCPNV	1332	228	9	57	1	1037	221	0	0	0
bcIHCT	1294	297	11	52	5	929	249	0	0	0
bcIJKG	1263	234	20	44	3	962	242	0	0	0
bcHRUQ	1233	399	4	582	30	218	303	0	0	0
bcFPGF	1207	712	6	161	6	322	494	0	0	0
bcCUGA	1181	170	5	53	5	948	155	0	0	0
bcBZBF	1159	720	11	153	13	262	528	0	0	0
bcARAH	1135	169	13	30	5	918	151	0	0	0
bcFGRU	1114	154	14	37	3	906	156	0	0	0
bcEYSX	1095	210	16	45	1	823	191	0	0	0
bcDLHR	1077	644	8	144	5	276	500	0	0	0
bcFPGV	1059	690	6	107	3	253	484	0	0	0
bcDHPW	1041	188	5	37	1	810	170	0	0	0
bcHPYG	1026	614	8	136	6	262	415	0	0	0
bcHOTY	1010	211	7	42	1	749	168	0	0	0
bcDTEW	995	362	8	82	5	538	286	0	0	0
bcGWZH	981	178	4	42	2	755	147	0	0	0
bcCZWF	967	153	7	29	5	773	132	0	0	0
bcEFCS	954	532	7	125	8	282	361	0	0	0
bcFTBM	943	167	7	34	0	735	155	0	0	0
bcFRLZ	930	178	8	34	4	706	161	0	0	0
bcCJXA	919	167	6	31	2	713	147	0	0	0
bcETSZ	906	186	9	45	3	663	162	0	0	0
bcDHAF	896	226	10	45	3	612	203	0	0	0
bcDNUO	886	149	4	37	2	694	128	0	0	0
bcDVZI	876	181	6	31	5	653	164	0	0	0
bcHVOJ	866	136	10	52	3	665	117	0	0	0
bcAAFA	855	194	7	52	0	602	183	0	0	0
bcAOCO	845	434	9	110	1	291	322	0	0	0
bcEHEI	835	501	6	124	1	203	361	0	0	0
bcAQBX	825	151	14	52	2	606	149	0	0	0
bcFYEG	817	144	6	27	2	638	121	0	0	0
bcELSY	809	200	5	40	2	562	176	0	0	0
bcCUKV	800	553	11	82	2	152	404	0	0	0
bcBLJT	791	184	8	49	2	548	187	0	0	0
bcBKQT	783	127	6	23	0	627	120	0	0	0
bcBBUR	775	191	9	30	0	545	188	0	0	0
bcBOFP	767	153	3	49	4	558	135	0	0	0
bcIFYI	759	144	3	29	1	582	118	0	0	0
bcBOZH	751	114	6	36	2	593	109	0	0	0
bcEKAW	743	152	11	37	1	542	145	0	0	0
bcDOCE	735	412	8	125	1	189	297	0	0	0
bcBHLR	728	161	8	40	3	516	160	0	0	0
bcCRKZ	720	150	5	18	1	546	134	0	0	0
bcEGSV	713	177	6	40	3	487	161	0	0	0
bcBIEE	708	157	5	27	2	517	141	0	0	0
bcCZMO	700	293	9	23	10	365	234	0	0	0
bcIDPJ	693	167	7	35	2	482	146	0	0	0
bcAUYW	686	154	8	34	2	488	149	0	0	0
bcAKWY	679	103	1	30	1	544	89	0	0	0
bcIIQA	672	111	6	44	2	509	109	0	0	0
bcGQYD	665	130	2	24	4	505	108	0	0	0
bcEQYZ	659	131	2	27	3	496	118	0	0	0
bcBPXN	652	379	4	97	7	165	275	0	0	0
bcGZJL	645	112	5	35	4	489	101	0	0	0
bcEZDZ	639	198	6	40	0	395	159	0	0	0
bcHNBN	633	143	3	29	2	456	128	0	0	0
bcGYJA	626	147	4	37	3	435	132	0	0	0
bcECRM	620	129	4	27	0	460	111	0	0	0
bcGWYM	613	160	3	21	0	429	131	0	0	0
bcDLRO	607	150	2	31	0	424	119	0	0	0
bcEUIE	600	120	10	32	0	438	114	0	0	0
bcBFLI	593	135	10	24	0	424	131	0	0	0
bcGLVB	587	107	4	28	3	445	99	0	0	0
bcDHXG	581	156	5	31	1	388	122	0	0	0
bcBVKA	574	136	0	36	4	398	127	0	0	0
bcCQVR	568	127	3	39	0	399	120	0	0	0
bcDUBV	562	122	3	26	1	410	105	0	0	0
bcBBRZ	555	272	6	75	0	202	234	0	0	0
bcBUZP	549	106	6	26	4	407	110	0	0	0
bcIDZQ	542	138	6	28	0	370	125	0	0	0
bcEVRN	536	116	6	23	1	390	104	0	0	0
bcANMO	529	126	3	38	1	361	112	0	0	0
bcHRKB	523	118	4	30	0	371	119	0	0	0
bcBFNP	517	119	8	24	1	365	106	0	0	0
bcHYES	510	93	6	25	0	386	91	0	0	0
bcAQKL	504	120	5	23	1	355	110	0	0	0
bcCHMZ	499	122	8	24	5	340	116	0	0	0
bcAOIF	493	109	3	18	4	359	96	0	0	0
bcAXPF	487	109	4	18	4	352	101	0	0	0
bcGDBC	481	302	5	55	4	115	230	0	0	0
bcHKJW	474	99	5	31	2	337	89	0	0	0
bcEURS	468	99	6	23	1	339	89	0	0	0
bcARPI	462	120	3	25	1	313	110	0	0	0
bcFICA	456	120	5	23	2	306	115	0	0	0
bcDRHG	449	262	3	56	4	124	191	0	0	0
bcGKWN	443	166	3	32	2	240	143	0	0	0
bcFEXV	438	77	4	22	2	333	68	0	0	0
bcBWNZ	432	114	4	48	2	264	95	0	0	0
bcDCYD	426	159	4	19	1	243	141	0	0	0
bcHRZP	421	91	4	17	1	308	75	0	0	0
bcFCQI	416	92	9	21	1	293	97	0	0	0
bcAMQO	410	74	5	22	0	309	65	0	0	0
bcBEFQ	404	86	3	12	2	301	69	0	0	0
bcGVMY	397	91	11	16	1	278	85	0	0	0
bcBSDE	392	171	5	41	3	172	122	0	0	0
bcCMAG	386	208	4	51	3	120	168	0	0	0
bcBJQZ	380	237	4	51	1	87	183	0	0	0
bcDCDV	374	74	4	14	1	281	74	0	0	0
bcCLVG	369	208	3	73	2	83	165	0	0	0
bcFQJN	363	81	0	17	4	261	79	0	0	0
bcBFMI	357	68	3	6	2	278	60	0	0	0
bcDCHO	352	76	2	20	0	254	74	0	0	0
bcHXCB	346	61	4	9	1	271	55	0	0	0
bcCTBP	341	147	4	30	3	157	104	0	0	0
bcBCVS	335	75	4	13	2	241	66	0	0	0
bcCMGS	329	61	4	7	1	256	63	0	0	0
bcADME	324	82	3	25	1	213	73	0	0	0
bcGHNS	319	61	1	15	1	241	54	0	0	0
bcIATD	313	67	3	14	1	228	60	0	0	0
bcHTYO	308	66	5	14	0	223	51	0	0	0
bcBBBC	302	67	5	12	1	217	61	0	0	0
bcHSVB	297	61	3	13	1	219	57	0	0	0
bcGPQA	292	57	4	15	0	216	50	0	0	0
bcDCHD	286	52	2	33	2	197	51	0	0	0
bcAOHE	281	50	3	11	1	216	42	0	0	0
bcBMOF	276	141	3	39	1	92	108	0	0	0
bcAJUG	271	66	2	11	0	192	64	0	0	0
bcDWRF	266	139	1	37	0	89	91	0	0	0
bcFEQS	261	62	5	13	0	181	55	0	0	0
bcEFIS	256	81	2	19	1	153	57	0	0	0
bcFBHB	252	47	2	13	2	188	44	0	0	0
bcELMV	80045	27865	490	35791	1535	14364	27014	0	0	0
bcGWMO	29994	19960	306	3206	460	6062	19400	0	0	0
bcEBOD	21813	14466	272	2710	97	4268	13734	0	0	0
bcFXRH	17559	12264	184	1783	62	3266	11771	0	0	0
bcCPUU	14071	8460	122	1229	67	4193	6926	0	0	0
bcAMFH	11873	7940	88	1482	40	2323	7067	0	0	0
bcDMNV	9870	5936	96	813	37	2988	5388	0	0	0
bcIFII	8354	5237	126	949	33	2009	4286	0	0	0
bcBUQE	6697	4698	40	736	19	1204	3589	0	0	0
bcCKUZ	5423	3286	46	326	32	1733	2341	0	0	0
bcHDUF	4479	3022	50	327	6	1074	2012	0	0	0
bcAQRZ	3856	1096	39	984	48	1689	894	0	0	0
bcCAQC	3365	1347	35	120	33	1830	975	0	0	0
bcCQLY	2933	1850	27	366	12	678	1310	0	0	0
bcIEWC	2624	1528	32	332	20	712	1085	0	0	0
bcGQCY	2380	1366	26	324	12	652	1029	0	0	0
bcCSBZ	2187	1346	30	278	10	523	899	0	0	0
bcBQKF	2025	1217	21	179	17	591	902	0	0	0
bcEYUQ	1901	1174	22	283	6	416	829	0	0	0
bcCIVJ	1789	1187	12	203	7	380	862	0	0	0
bcHCLT	1708	1064	12	237	3	392	712	0	0	0
bcERBV	1624	275	26	65	1	1257	236	0	0	0
bcAYFB	1561	626	15	157	7	756	426	0	0	0
bcCKRD	1503	711	12	41	1	738	511	0	0	0
bcGPTP	1448	288	12	61	2	1085	259	0	0	0
bcBKRQ	1405	204	8	42	2	1149	185	0	0	0
bcCNSE	1368	245	10	54	1	1058	232	0	0	0
bcFSIJ	1332	187	9	35	1	1100	159	0	0	0
bcCWVK	1293	857	10	160	9	257	609	0	0	0
bcADOS	1263	699	15	145	12	392	508	0	0	0
bcEXDB	1233	254	12	70	2	895	240	0	0	0
bcBTKR	1207	283	15	59	2	848	272	0	0	0
bcERKQ	1181	224	5	41	2	909	181	0	0	0
bcFAKA	1159	755	11	77	2	314	516	0	0	0
bcHETZ	1134	343	6	50	0	735	270	0	0	0
bcBSUY	1114	226	16	41	5	826	213	0	0	0
bcBYSP	1095	172	16	36	1	870	166	0	0	0
bcBKWL	1077	497	5	173	4	398	358	0	0	0
bcHBWE	1059	160	12	43	3	841	144	0	0	0
bcBSHE	1041	227	7	83	3	721	200	0	0	0
bcBITF	1026	161	3	45	0	817	144	0	0	0
bcCPZK	1010	212	10	40	3	745	204	0	0	0
bcDZVA	995	180	2	47	2	764	149	0	0	0
bcEKTC	981	199	10	33	1	738	173	0	0	0
bcCLWI	967	135	6	44	3	779	134	0	0	0
bcDJZV	954	138	9	35	2	770	128	0	0	0
bcBTJY	943	138	6	24	3	772	133	0	0	0
bcIHSG	930	193	7	33	3	694	176	0	0	0
bcGIHW	919	132	8	41	2	736	125	0	0	0
bcAPFJ	906	379	7	32	0	488	277	0	0	0
bcIDPB	896	133	1	38	1	723	126	0	0	0
