Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcIFYK	43464	21672	523	8549	469	12251	26849	0	0	0
bcHENX	17091	10893	245	1804	91	4058	12153	0	0	0
bcGFMK	12518	7814	158	1186	106	3254	8629	0	0	0
bcFJDE	10245	6071	153	1055	40	2926	6392	0	0	0
bcAUIO	8314	4690	116	714	37	2757	4920	0	0	0
bcDJKU	6902	3281	74	625	41	2881	3135	0	0	0
bcDAKI	5472	3059	64	626	13	1710	3104	0	0	0
bcBUNW	4428	2546	72	508	14	1288	2684	0	0	0
bcHQJB	3558	1742	46	376	10	1384	1682	0	0	0
bcAWPW	2897	1436	32	573	23	833	1297	0	0	0
bcHNDV	2420	1178	26	98	19	1099	1021	0	0	0
bcIHHE	2136	1410	23	170	3	530	1134	0	0	0
bcDQBM	1912	371	16	83	7	1435	363	0	0	0
bcDASH	1756	197	15	40	3	1501	208	0	0	0
bcDEQC	1651	810	14	138	12	677	733	0	0	0
bcBCVD	1561	730	25	192	5	609	654	0	0	0
bcBZCC	1484	782	19	176	5	502	707	0	0	0
bcGZAD	1425	130	15	32	5	1243	138	0	0	0
bcEZWZ	1382	151	15	38	2	1176	162	0	0	0
bcBRIV	1337	683	22	162	8	462	580	0	0	0
bcGKTV	1294	577	15	128	7	567	472	0	0	0
bcGNMS	1259	119	6	35	2	1097	115	0	0	0
bcEONK	1227	306	22	76	5	818	286	0	0	0
bcDKIK	1197	119	9	34	1	1034	119	0	0	0
bcBLUO	1172	137	12	34	2	987	138	0	0	0
bcDSTV	1149	154	14	33	0	948	158	0	0	0
bcIACJ	1125	564	15	147	5	394	522	0	0	0
bcIAZX	1105	97	8	28	0	972	103	0	0	0
bcHWBY	1083	86	3	23	1	970	81	0	0	0
bcDMCH	1062	81	8	32	4	937	84	0	0	0
bcGERQ	1044	400	18	47	2	577	371	0	0	0
bcGCJL	1025	118	9	27	1	870	115	0	0	0
bcAUPJ	1009	76	7	35	0	891	82	0	0	0
bcDYDU	994	91	7	27	1	868	92	0	0	0
bcGTBH	979	92	4	14	0	869	92	0	0	0
bcBASK	965	99	8	20	1	837	101	0	0	0
bcGKTH	950	110	6	17	0	817	99	0	0	0
bcDIJD	938	357	8	91	8	474	286	0	0	0
