Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcDBXW	925	172	10	49	2	692	166	0	0	0
bcDMGZ	911	84	5	19	1	802	81	0	0	0
bcFNAI	899	111	13	23	1	751	123	0	0	0
bcHVNX	887	112	10	27	0	738	98	0	0	0
bcGXHP	873	90	5	16	1	761	91	0	0	0
bcFCZW	863	67	8	23	0	765	71	0	0	0
bcHVXG	852	77	11	28	0	736	88	0	0	0
bcDACY	842	58	10	22	2	750	65	0	0	0
bcGUIO	831	116	10	30	1	674	122	0	0	0
bcAGFG	821	90	10	23	1	697	96	0	0	0
bcHMTC	810	109	5	24	1	671	102	0	0	0
bcFTEX	800	77	6	22	2	693	79	0	0	0
bcGHHZ	790	85	8	24	2	671	86	0	0	0
bcEPQV	781	59	6	35	0	681	64	0	0	0
bcCTXK	772	75	5	16	1	675	74	0	0	0
bcBFKA	763	85	3	18	0	657	83	0	0	0
bcFRKG	753	80	5	23	1	644	74	0	0	0
bcBSOL	744	85	5	45	1	608	83	0	0	0
bcFSAB	735	76	5	20	2	632	73	0	0	0
bcCXTP	726	375	8	62	3	278	329	0	0	0
bcHKUM	717	155	4	34	0	524	144	0	0	0
bcANWY	710	96	9	16	2	587	98	0	0	0
bcDDON	702	72	4	20	2	604	71	0	0	0
bcEHVH	695	63	6	21	0	605	63	0	0	0
bcAMUM	688	62	6	15	3	602	66	0	0	0
bcFTDO	680	79	1	24	3	573	79	0	0	0
bcABPJ	673	81	9	16	1	566	87	0	0	0
bcHWOT	665	217	5	53	4	386	193	0	0	0
bcHRXQ	657	112	5	34	0	506	106	0	0	0
bcHDJG	650	86	1	16	2	545	79	0	0	0
bcDJTI	643	98	7	23	1	514	105	0	0	0
bcBNWB	636	123	7	29	1	476	123	0	0	0
bcAKJS	629	61	6	15	1	546	64	0	0	0
bcGBHX	622	338	9	74	3	198	274	0	0	0
bcHBII	615	67	5	23	2	518	65	0	0	0
bcBOQM	608	65	5	21	2	515	67	0	0	0
bcFAPU	602	86	7	21	0	488	83	0	0	0
bcAIBJ	595	119	3	7	0	466	109	0	0	0
bcGWPX	589	91	5	27	0	466	99	0	0	0
bcIJXR	581	79	4	19	3	476	77	0	0	0
bcCTXQ	574	91	1	15	0	467	84	0	0	0
bcESZE	567	77	5	20	1	464	75	0	0	0
bcEXNK	561	75	5	12	1	468	74	0	0	0
bcEOSA	555	70	4	21	2	458	69	0	0	0
bcBPLM	548	97	7	19	0	425	97	0	0	0
bcECAA	541	97	3	26	1	414	88	0	0	0
bcCOYS	534	69	6	17	1	441	71	0	0	0
bcFUPB	529	46	4	10	0	469	44	0	0	0
bcHOTD	522	82	4	37	2	397	79	0	0	0
bcEQFD	516	59	3	10	1	443	53	0	0	0
bcERXI	510	88	7	21	2	392	88	0	0	0
bcCRHD	503	65	5	20	1	412	67	0	0	0
bcGDXK	497	73	2	18	2	402	71	0	0	0
bcIAKN	490	61	6	15	1	407	66	0	0	0
bcDVPQ	484	41	5	13	0	425	43	0	0	0
bcDIFA	478	61	7	15	1	394	63	0	0	0
bcFUCV	472	50	5	15	0	402	51	0	0	0
bcDERC	466	69	4	15	0	378	70	0	0	0
bcCXOE	459	36	8	9	0	406	40	0	0	0
bcDQDP	452	87	3	16	3	343	82	0	0	0
bcCUPE	446	49	2	9	2	384	48	0	0	0
bcFYZV	440	65	6	14	0	355	69	0	0	0
bcFKEX	435	63	3	20	1	348	58	0	0	0
bcCVAX	429	58	3	13	1	354	59	0	0	0
bcCCBT	423	36	5	4	0	378	39	0	0	0
bcGMSH	417	201	8	53	2	153	174	0	0	0
bcBKJM	412	75	3	15	2	317	75	0	0	0
bcALAX	406	64	7	12	2	321	64	0	0	0
bcBZSF	401	52	4	11	0	334	51	0	0	0
bcGXTK	395	63	2	11	1	318	63	0	0	0
bcFQQT	389	52	2	10	0	325	51	0	0	0
bcAWXV	383	50	4	11	1	317	51	0	0	0
bcEXDQ	377	26	6	5	1	339	32	0	0	0
bcHZSP	372	172	3	25	0	172	136	0	0	0
bcBIKR	365	172	3	28	1	161	136	0	0	0
bcGMUQ	360	151	4	39	2	164	139	0	0	0
bcCPFU	354	118	4	35	2	195	105	0	0	0
bcGGMV	349	140	2	35	2	170	121	0	0	0
bcAYVJ	343	67	8	16	0	252	63	0	0	0
bcFMCW	338	35	4	9	0	290	39	0	0	0
bcHWMM	332	45	3	13	0	271	42	0	0	0
bcEFOS	327	38	4	4	0	281	40	0	0	0
bcFZJP	321	72	4	12	0	233	74	0	0	0
bcEZBM	316	30	1	6	0	279	30	0	0	0
bcBSBJ	311	83	4	20	0	204	77	0	0	0
bcEOPJ	306	53	6	5	2	240	59	0	0	0
bcHYHK	300	46	5	15	2	232	46	0	0	0
bcCQJL	294	29	4	7	0	254	31	0	0	0
bcGMUV	289	138	8	31	0	112	132	0	0	0
bcEMCN	283	48	2	10	1	222	47	0	0	0
bcGGEX	278	51	5	12	0	210	56	0	0	0
bcGHVL	273	97	8	18	0	150	83	0	0	0
bcGHNR	267	36	3	7	0	221	35	0	0	0
bcHRCC	262	33	3	6	0	220	34	0	0	0
bcGXGN	256	35	3	12	3	203	35	0	0	0
bcCDIT	251	106	6	20	1	118	105	0	0	0
bcGKDN	39037	11657	450	16647	680	9603	14515	0	0	0
bcCIVV	16996	10282	241	1704	210	4559	12511	0	0	0
bcAYBL	12509	7682	200	1438	132	3057	8162	0	0	0
bcELVM	10237	6108	156	1136	117	2720	6371	0	0	0
bcCMXV	8309	4185	110	708	37	3269	4359	0	0	0
bcDRUI	6892	4075	96	744	20	1957	4456	0	0	0
bcEYKP	5468	3127	82	405	14	1840	2945	0	0	0
bcFAKA	4427	2596	62	306	15	1448	2477	0	0	0
bcEUZC	3555	301	39	99	1	3115	314	0	0	0
bcALBU	2895	626	33	283	11	1942	646	0	0	0
bcALTI	2420	239	37	47	2	2095	263	0	0	0
bcBFJS	2133	1046	29	227	5	826	959	0	0	0
bcDUKJ	1911	1034	29	178	20	650	973	0	0	0
bcHFFX	1756	833	12	90	12	809	706	0	0	0
bcFLPI	1651	195	17	34	1	1404	208	0	0	0
bcDCJT	1561	485	14	79	3	980	457	0	0	0
bcEEOL	1484	156	14	37	2	1275	164	0	0	0
bcHMIH	1425	179	12	40	3	1191	171	0	0	0
bcGBIW	1382	442	15	93	5	827	404	0	0	0
bcDQQY	1337	144	12	39	1	1141	131	0	0	0
bcGOFH	1294	127	13	32	2	1120	138	0	0	0
bcASNJ	1259	105	8	27	5	1114	111	0	0	0
bcERLE	1227	140	11	24	3	1049	138	0	0	0
bcCKID	1197	189	11	24	2	971	172	0	0	0
bcDHEK	1172	591	24	130	3	424	541	0	0	0
bcEMPH	1149	81	5	16	1	1046	84	0	0	0
bcCZKZ	1125	108	6	30	1	980	111	0	0	0
bcFVII	1105	103	17	25	3	957	116	0	0	0
bcAXEW	1083	113	10	27	1	932	116	0	0	0
bcDZJA	1062	108	13	20	1	920	113	0	0	0
bcGPIM	1044	440	15	106	8	475	398	0	0	0
bcIBGA	1025	118	6	26	0	875	121	0	0	0
bcEXNH	1009	117	16	31	1	844	131	0	0	0
bcGIYM	993	133	6	26	2	826	125	0	0	0
bcDAUT	979	129	10	32	1	807	130	0	0	0
bcAYXM	964	317	12	72	2	561	297	0	0	0
bcFRZN	950	177	16	33	2	722	161	0	0	0
bcHEZC	938	109	4	35	3	787	108	0	0	0
bcGKII	925	93	3	23	3	803	91	0	0	0
bcDDDW	911	384	13	75	3	436	367	0	0	0
bcFWJU	899	90	6	25	1	777	93	0	0	0
bcDJWB	887	97	13	24	1	752	103	0	0	0
bcFWHQ	873	92	11	15	2	753	99	0	0	0
bcEBDJ	863	471	13	86	4	289	398	0	0	0
bcCKRR	852	94	4	15	2	737	94	0	0	0
bcIITU	842	89	6	23	2	722	88	0	0	0
bcFTHL	831	108	9	19	0	695	108	0	0	0
bcFKDW	821	389	11	92	3	326	360	0	0	0
bcERUY	810	117	10	25	2	656	126	0	0	0
bcHEMR	800	104	7	27	3	659	108	0	0	0
bcESGO	790	53	5	9	1	722	58	0	0	0
bcEVJU	781	88	8	22	0	663	84	0	0	0
bcGUJE	772	108	8	23	0	633	106	0	0	0
bcFWHD	763	106	9	22	1	625	106	0	0	0
bcAUUZ	753	56	5	14	1	677	63	0	0	0
bcBTHU	744	84	9	33	0	618	90	0	0	0
bcCTGB	735	69	8	21	3	634	73	0	0	0
bcFWWL	725	74	4	15	1	631	75	0	0	0
bcDLZT	717	106	4	21	2	584	96	0	0	0
bcFGPL	710	69	9	12	0	620	72	0	0	0
bcACSV	702	104	6	21	1	570	93	0	0	0
bcCTFA	695	323	5	59	6	302	278	0	0	0
bcGHGE	688	80	4	21	0	583	80	0	0	0
bcFYUF	680	60	7	22	2	589	63	0	0	0
bcASFV	672	96	10	25	0	541	105	0	0	0
bcFCXZ	665	379	6	65	2	213	360	0	0	0
bcEFLU	657	74	6	26	2	549	69	0	0	0
bcDUSQ	650	86	4	20	1	539	85	0	0	0
bcHSDB	643	97	8	13	2	523	85	0	0	0
bcAEJC	636	62	3	15	0	556	63	0	0	0
bcHXPV	629	222	12	50	3	342	191	0	0	0
bcDZDZ	622	65	2	19	2	534	66	0	0	0
bcFVUC	615	97	3	32	1	482	90	0	0	0
bcCCNU	608	103	6	34	2	463	105	0	0	0
bcEKOD	602	71	6	18	0	507	67	0	0	0
bcDZEG	595	74	4	13	0	504	71	0	0	0
bcIDLW	589	60	6	14	0	509	64	0	0	0
bcCSSU	581	80	7	12	0	482	77	0	0	0
bcEJJA	574	67	1	18	1	487	68	0	0	0
bcEUWS	567	105	4	30	1	427	103	0	0	0
bcFOHF	561	84	9	52	2	414	90	0	0	0
bcBMGA	555	258	9	79	3	206	249	0	0	0
bcEEVK	548	64	4	21	0	459	67	0	0	0
bcHCUY	541	88	7	22	1	423	86	0	0	0
bcHILF	534	77	4	14	0	439	75	0	0	0
bcGSXM	529	65	7	24	0	433	67	0	0	0
bcBUME	522	56	3	18	3	442	58	0	0	0
bcHRHT	516	76	1	18	1	420	69	0	0	0
bcBDOT	510	60	5	10	0	435	64	0	0	0
bcDQHR	503	67	2	12	0	422	62	0	0	0
bcAIMJ	496	246	8	55	3	184	221	0	0	0
bcAIGL	490	224	5	59	5	197	206	0	0	0
bcCNYA	484	115	7	17	0	345	102	0	0	0
bcHESL	478	42	4	9	2	421	42	0	0	0
bcCOAL	472	64	2	16	0	390	64	0	0	0
bcGPWU	466	73	4	20	0	369	78	0	0	0
bcEBDK	459	72	3	20	1	363	69	0	0	0
bcCSBT	452	48	12	9	0	383	54	0	0	0
bcCUVF	446	55	5	11	3	372	60	0	0	0
bcAMVT	440	45	9	15	3	368	50	0	0	0
bcBYNR	435	52	3	9	1	370	51	0	0	0
bcEYGL	429	58	4	13	2	352	61	0	0	0
bcEFPT	423	52	7	15	0	349	57	0	0	0
bcHNLZ	417	52	4	9	0	352	51	0	0	0
bcFSDG	412	29	6	13	0	364	35	0	0	0
bcHBKQ	406	54	6	11	1	334	50	0	0	0
bcGBED	401	62	5	12	1	321	59	0	0	0
bcFACX	395	43	4	15	0	333	44	0	0	0
bcDRVI	389	35	4	10	0	340	37	0	0	0
bcAPXA	383	139	4	49	1	190	125	0	0	0
bcBXTL	377	47	2	13	0	315	43	0	0	0
bcAAVQ	371	42	2	12	1	314	45	0	0	0
bcHXEZ	365	26	1	13	0	325	27	0	0	0
bcAJXT	360	38	5	3	0	314	41	0	0	0
bcEMIE	354	38	2	9	1	304	39	0	0	0
bcGERI	349	60	5	16	0	268	61	0	0	0
bcBKAM	343	64	2	13	0	264	54	0	0	0
bcGVXI	338	201	6	29	2	100	190	0	0	0
bcHCZN	332	46	4	7	0	275	48	0	0	0
bcDLAU	327	116	6	28	0	177	101	0	0	0
bcCCIN	321	77	4	12	2	226	71	0	0	0
bcFVVO	316	41	2	10	0	263	41	0	0	0
bcCIMO	311	30	2	11	0	268	30	0	0	0
bcDKBJ	306	92	5	34	1	174	86	0	0	0
bcDUTK	300	30	2	10	0	258	29	0	0	0
bcEOVI	294	74	4	18	1	197	72	0	0	0
bcFIME	288	29	1	12	0	246	26	0	0	0
bcDOYE	283	41	2	13	1	226	42	0	0	0
bcGSEJ	278	100	2	32	2	142	84	0	0	0
bcBQXN	273	31	1	12	0	229	31	0	0	0
bcIEAD	267	159	3	16	1	88	142	0	0	0
bcFIKF	262	38	3	8	1	212	37	0	0	0
bcDNIS	256	23	4	9	1	219	26	0	0	0
bcDWWG	251	40	4	3	0	204	46	0	0	0
bcARJA	38095	10806	397	17221	865	8806	13516	0	0	0
bcHCIR	16985	8655	225	3673	195	4237	10237	0	0	0
bcAQTI	12508	6795	181	1635	65	3832	7521	0	0	0
bcEVQU	10234	5692	142	1055	33	3312	6115	0	0	0
bcGHNJ	8308	5129	128	830	19	2202	5671	0	0	0
bcCOAY	6884	3941	86	682	20	2155	4204	0	0	0
bcEKEG	5467	3025	55	724	37	1626	2813	0	0	0
bcHMPM	4421	2650	60	526	34	1151	2545	0	0	0
bcIDNA	3550	2027	38	249	14	1222	1837	0	0	0
bcBIZA	2893	1304	35	296	6	1252	1201	0	0	0
bcHUHF	2419	1215	23	274	11	896	1031	0	0	0
bcAKSN	2132	372	25	87	4	1644	367	0	0	0
bcDKZI	1911	645	30	137	6	1093	614	0	0	0
bcHKDV	1755	189	24	46	1	1495	207	0	0	0
bcFWJZ	1650	178	14	46	1	1411	185	0	0	0
bcFRMZ	1560	492	29	120	4	915	457	0	0	0
bcDSRU	1484	191	13	40	4	1236	177	0	0	0
bcHAMO	1425	735	24	187	6	473	629	0	0	0
bcIDVK	1381	156	9	37	4	1175	156	0	0	0
bcBOSX	1337	403	12	452	29	441	379	0	0	0
bcBIPP	1293	122	9	28	1	1133	122	0	0	0
bcCQKO	1258	174	10	55	2	1017	168	0	0	0
bcGMOY	1227	106	4	25	1	1091	106	0	0	0
bcEYUN	1197	646	12	79	9	451	581	0	0	0
bcBDWI	1172	117	11	35	0	1009	122	0	0	0
bcHQEV	1149	253	16	50	2	828	243	0	0	0
bcFHNY	1125	93	17	35	1	979	101	0	0	0
bcGFDF	1105	79	9	36	1	980	89	0	0	0
bcHMAT	1083	141	5	37	1	899	137	0	0	0
bcAPVZ	1062	98	8	28	1	927	100	0	0	0
bcBEML	1043	130	13	32	2	866	135	0	0	0
bcDIWG	1025	115	9	21	0	880	118	0	0	0
bcCXEM	1009	104	6	27	2	870	101	0	0	0
bcEDZL	993	120	8	21	1	843	110	0	0	0
bcHUPA	979	104	8	29	2	836	107	0	0	0
bcFMHY	964	109	7	30	1	817	109	0	0	0
bcGLOV	950	137	17	37	0	759	133	0	0	0
bcCIWG	937	53	7	11	1	865	59	0	0	0
bcEXQO	925	119	6	32	1	767	119	0	0	0
bcGLWG	911	86	13	20	1	791	98	0	0	0
bcCBFZ	899	369	15	100	3	412	325	0	0	0
bcDDUN	887	103	10	23	3	748	107	0	0	0
bcHTOJ	873	90	5	18	0	760	85	0	0	0
bcBDWA	863	95	8	27	1	732	98	0	0	0
bcBQPC	852	95	5	26	1	725	90	0	0	0
bcHXGT	842	111	3	23	0	705	103	0	0	0
bcCPGU	831	299	10	69	1	452	266	0	0	0
bcGNPV	821	82	1	18	0	720	77	0	0	0
bcHLLC	810	82	4	22	1	701	82	0	0	0
bcCJDJ	800	118	5	35	1	641	113	0	0	0
bcGQPU	790	145	8	32	4	601	151	0	0	0
bcBOUG	781	83	12	16	0	670	86	0	0	0
bcAOSM	772	97	2	13	0	660	96	0	0	0
bcCUQA	763	72	5	24	0	662	81	0	0	0
bcFQVN	753	89	5	24	0	635	91	0	0	0
bcCRLU	744	86	7	24	1	626	94	0	0	0
bcGHKT	735	95	4	21	4	611	94	0	0	0
bcABJZ	725	76	15	75	1	558	87	0	0	0
bcEZDW	717	76	4	11	1	625	77	0	0	0
bcHMEC	710	115	8	26	2	559	108	0	0	0
bcARBJ	702	84	9	27	1	581	86	0	0	0
bcFRRL	695	117	7	20	3	548	116	0	0	0
bcAJQD	688	303	9	79	1	296	259	0	0	0
bcBATF	680	80	4	19	1	576	76	0	0	0
bcFWXR	672	72	4	14	2	580	75	0	0	0
bcDINF	665	223	5	53	5	379	179	0	0	0
bcAGWR	657	67	5	26	0	559	67	0	0	0
bcGWEM	650	64	4	13	0	569	68	0	0	0
bcBKVA	643	80	4	14	1	544	78	0	0	0
bcCYUU	636	65	6	14	0	551	66	0	0	0
bcAVRQ	629	89	10	27	2	501	86	0	0	0
bcEOCG	622	136	2	25	1	458	118	0	0	0
bcEOQP	615	200	6	36	2	371	164	0	0	0
bcEDEZ	608	70	8	20	1	509	79	0	0	0
bcFEKR	602	71	8	20	0	503	77	0	0	0
bcAFKM	595	192	7	42	1	353	160	0	0	0
bcHCWT	589	91	8	21	1	468	90	0	0	0
bcEZXP	581	91	4	21	1	464	87	0	0	0
bcHOEY	574	84	4	10	1	475	75	0	0	0
bcDOTH	567	107	4	21	0	435	105	0	0	0
bcDBRK	561	80	2	19	1	459	77	0	0	0
bcFVSP	555	78	2	24	1	450	68	0	0	0
bcGMVW	548	70	3	10	1	464	61	0	0	0
bcGFCJ	541	53	2	21	1	464	53	0	0	0
bcCCPR	534	209	10	36	6	273	173	0	0	0
bcHLFL	529	271	9	69	4	176	239	0	0	0
bcAPRM	522	194	5	48	1	274	162	0	0	0
bcCEAW	516	216	8	44	5	243	186	0	0	0
bcDAJK	510	67	6	21	2	414	69	0	0	0
bcCSWE	503	64	4	15	1	419	66	0	0	0
bcATVE	496	62	3	14	1	416	64	0	0	0
bcCZVR	490	56	2	17	0	415	52	0	0	0
bcEIRP	484	66	4	14	0	400	65	0	0	0
bcBILL	478	58	4	21	3	392	61	0	0	0
bcCEOW	472	50	3	13	1	405	51	0	0	0
bcAXWS	466	58	7	12	0	389	60	0	0	0
bcEFAD	459	167	8	42	3	239	147	0	0	0
bcGBEE	452	24	1	17	0	410	24	0	0	0
bcFPFZ	446	46	1	9	0	390	47	0	0	0
bcGBVS	440	80	10	21	0	329	79	0	0	0
bcGRWJ	435	202	1	56	1	175	157	0	0	0
bcGJJU	429	73	2	16	0	338	72	0	0	0
bcATTT	423	62	3	11	1	346	64	0	0	0
bcHVSP	417	33	3	8	0	373	37	0	0	0
bcIICF	412	189	7	47	3	166	169	0	0	0
bcGVYZ	406	143	7	28	2	226	129	0	0	0
bcERZJ	401	55	4	18	1	323	53	0	0	0
bcBNCV	395	40	3	4	1	347	40	0	0	0
bcHLQS	389	163	4	37	1	184	132	0	0	0
bcBWWT	383	35	3	3	0	342	35	0	0	0
bcHYYK	377	175	2	42	1	157	153	0	0	0
bcFWLQ	371	57	3	15	0	296	58	0	0	0
bcFSAS	365	50	3	19	1	292	50	0	0	0
bcEPXA	360	47	4	16	1	292	50	0	0	0
bcEVRR	354	55	1	7	1	290	47	0	0	0
bcEMCC	349	64	1	7	1	276	59	0	0	0
bcEDDN	343	30	3	5	0	305	31	0	0	0
bcBYWM	338	55	5	12	1	265	58	0	0	0
bcGMIX	332	50	4	11	0	267	49	0	0	0
bcAVUL	327	61	2	14	0	250	59	0	0	0
bcFIZV	321	84	2	28	2	205	74	0	0	0
bcBJND	316	35	3	6	2	270	36	0	0	0
bcGHBB	311	127	2	28	2	152	111	0	0	0
bcEFRI	306	49	3	11	1	242	53	0	0	0
bcAMAR	300	144	2	38	1	115	123	0	0	0
bcBRTK	294	91	3	23	5	172	75	0	0	0
bcGKLN	288	85	7	18	0	178	96	0	0	0
bcEDTT	283	29	7	8	0	239	33	0	0	0
bcDBDN	278	31	3	7	4	233	30	0	0	0
bcAMJZ	273	33	3	6	0	231	30	0	0	0
bcABTD	267	23	2	7	1	234	25	0	0	0
bcBQOG	262	102	3	33	1	123	82	0	0	0
bcGIWA	256	51	1	9	0	195	46	0	0	0
bcHRUJ	251	20	6	7	0	218	27	0	0	0
bcBZDK	36998	21951	488	4085	153	10321	27051	0	0	0
bcBRSA	16969	10700	268	1350	48	4603	12002	0	0	0
bcEQDQ	12485	7471	183	931	57	3843	8049	0	0	0
bcCHMP	10234	4389	120	1943	90	3692	4807	0	0	0
bcAUPF	8308	4483	134	573	66	3052	5118	0	0	0
bcBPAI	6873	3754	106	412	33	2568	3531	0	0	0
bcCJCS	5466	2864	62	838	45	1657	2859	0	0	0
bcBZRW	4410	293	40	65	1	4011	317	0	0	0
bcFHHH	3548	1762	48	423	24	1291	1625	0	0	0
bcGCHB	2892	1297	42	454	29	1070	1249	0	0	0
bcHATI	2416	628	28	144	5	1611	559	0	0	0
bcFNAK	2131	258	22	62	1	1788	281	0	0	0
bcDUWO	1909	871	19	185	12	822	785	0	0	0
bcHDXM	1754	867	33	103	12	739	716	0	0	0
bcDUCD	1650	149	17	43	3	1438	161	0	0	0
bcCSPJ	1560	173	14	38	3	1332	173	0	0	0
bcGFKT	1483	120	18	27	2	1316	133	0	0	0
bcCZYE	1424	293	17	74	5	1035	261	0	0	0
bcDDFF	1381	558	14	120	10	679	550	0	0	0
bcDPHR	1337	120	10	29	1	1177	125	0	0	0
bcHVBI	1293	775	18	142	3	355	690	0	0	0
bcDHZH	1258	115	13	29	3	1098	118	0	0	0
bcGEJZ	1227	236	15	58	4	914	232	0	0	0
bcEYPW	1197	321	12	81	3	780	279	0	0	0
bcDJJE	1172	144	8	35	6	979	143	0	0	0
bcAYIG	1149	618	11	150	7	363	535	0	0	0
bcHWDJ	1126	124	7	32	2	961	126	0	0	0
bcDQUJ	1105	138	12	27	1	927	141	0	0	0
bcIFSV	1083	87	15	34	6	941	94	0	0	0
bcETLY	1062	133	8	26	2	893	131	0	0	0
bcFSFK	1043	105	6	34	4	894	105	0	0	0
bcHJVI	1025	103	6	33	0	883	105	0	0	0
bcHLJY	1009	221	18	72	9	689	222	0	0	0
bcFYVV	993	204	9	52	2	726	204	0	0	0
bcCSCH	979	97	12	21	2	847	105	0	0	0
bcBGOP	964	384	15	87	3	475	350	0	0	0
bcFKJL	950	120	6	20	1	803	115	0	0	0
bcDBXP	937	126	8	22	0	781	129	0	0	0
bcHAAS	925	102	5	23	2	793	98	0	0	0
bcGSTQ	911	108	6	30	2	765	104	0	0	0
bcFKYJ	899	323	14	92	3	467	293	0	0	0
bcAVCQ	887	104	13	21	0	749	114	0	0	0
bcEAFY	873	87	5	26	0	755	89	0	0	0
bcCXUU	863	103	9	16	0	735	109	0	0	0
bcDOXZ	852	91	13	29	3	716	98	0	0	0
bcHWPH	842	98	8	26	2	708	100	0	0	0
bcHEZK	831	70	3	17	0	741	73	0	0	0
bcFQZN	821	417	15	89	5	295	366	0	0	0
bcIDCH	810	329	8	102	3	368	270	0	0	0
bcDJHG	800	396	11	108	6	279	329	0	0	0
bcFPSA	790	94	5	24	2	665	91	0	0	0
bcCQHG	781	88	3	19	2	669	85	0	0	0
bcETKO	771	106	14	24	0	627	105	0	0	0
bcEVTW	763	142	8	39	0	574	129	0	0	0
bcFDYA	753	114	6	23	1	609	117	0	0	0
bcBPJL	744	77	9	15	1	642	82	0	0	0
bcHWSI	735	63	9	25	1	637	68	0	0	0
bcDOQR	725	68	8	13	0	636	72	0	0	0
bcIFWB	717	101	3	30	2	581	91	0	0	0
bcGAST	710	89	4	16	2	599	88	0	0	0
bcHEWN	702	84	5	18	0	595	84	0	0	0
bcBTTE	695	77	5	22	1	590	81	0	0	0
bcCLRT	688	71	5	20	1	591	71	0	0	0
bcGGGN	680	61	4	22	1	592	61	0	0	0
bcFJHE	672	259	4	60	1	348	208	0	0	0
bcHUMZ	665	93	4	24	4	540	92	0	0	0
bcHSKY	657	119	6	28	3	501	111	0	0	0
bcGMPE	650	86	6	15	2	541	83	0	0	0
bcABLB	643	62	9	11	1	560	67	0	0	0
bcGQRI	636	75	6	22	1	532	75	0	0	0
bcHQHX	629	60	4	18	0	547	56	0	0	0
bcFGQH	622	75	1	26	0	520	71	0	0	0
bcCXKR	615	67	7	13	0	528	69	0	0	0
bcEWGT	608	75	12	12	1	508	80	0	0	0
bcDTCV	602	230	7	72	6	287	190	0	0	0
bcEWHV	595	265	7	50	4	269	234	0	0	0
bcAJWI	589	50	1	9	1	528	49	0	0	0
bcEYRF	581	51	4	17	3	506	51	0	0	0
bcCEIQ	574	35	7	17	0	515	41	0	0	0
bcBJWT	567	75	7	17	1	467	77	0	0	0
bcAUIC	561	83	2	26	1	449	83	0	0	0
bcFSJJ	555	63	3	10	0	479	58	0	0	0
bcIJEX	548	60	5	20	0	463	60	0	0	0
bcBJDX	541	88	3	12	0	438	83	0	0	0
bcCWSG	534	46	4	10	1	473	46	0	0	0
bcAWVI	529	64	6	10	1	448	67	0	0	0
bcBVHE	522	78	7	15	2	420	78	0	0	0
bcADGZ	516	70	15	8	0	423	68	0	0	0
bcGYQA	510	86	7	17	2	398	89	0	0	0
bcEGSO	503	80	2	12	1	408	65	0	0	0
bcBOED	496	73	1	16	3	403	68	0	0	0
bcAXQG	490	56	4	20	0	410	54	0	0	0
bcALUA	484	58	3	8	0	415	59	0	0	0
bcEHZH	478	56	6	11	1	404	59	0	0	0
