,Basal,Secretory-1,Secretory-2,Secretory-3,Multiciliated,Ionocyte/Tuft,PNEC,Cell cycle,Ribosomal,Shared-1,Shared-2,Shared-3,CHIR,IL13,IFNA,IFNG-1,IFNG-2,IFNG-3,TGFB1-1,TGFB1-2
A2ML1,0.00E+00,2.95E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.14E-03,1.44E-03,0.00E+00,1.52E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ABCA1,4.05E-04,8.49E-04,0.00E+00,0.00E+00,0.00E+00,3.66E-05,0.00E+00,0.00E+00,0.00E+00,5.05E-04,2.99E-04,0.00E+00,4.44E-04,0.00E+00,8.31E-05,9.98E-05,0.00E+00,9.01E-05,1.30E-03,1.30E-03
ABCA12,4.22E-05,3.21E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.90E-05,2.82E-05,8.72E-04,9.94E-04,0.00E+00,0.00E+00,0.00E+00,1.03E-04,6.61E-04,0.00E+00,8.16E-04,3.59E-04,1.74E-06
ABCA13,0.00E+00,0.00E+00,1.69E-03,0.00E+00,1.15E-03,0.00E+00,0.00E+00,0.00E+00,2.30E-04,0.00E+00,0.00E+00,0.00E+00,1.66E-05,2.03E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ABHD2,2.08E-04,1.03E-03,1.79E-04,5.77E-04,1.34E-03,1.27E-03,1.30E-03,2.57E-04,4.88E-04,0.00E+00,3.70E-04,0.00E+00,6.75E-04,3.74E-04,0.00E+00,1.94E-04,0.00E+00,8.65E-04,1.23E-03,5.34E-04
ABL2,7.59E-07,5.32E-05,1.02E-04,1.32E-04,1.18E-04,5.58E-05,0.00E+00,0.00E+00,1.30E-04,1.40E-03,0.00E+00,1.25E-03,3.79E-04,1.98E-05,3.15E-04,1.42E-03,2.01E-04,2.99E-04,8.86E-04,7.07E-04
ABLIM1,5.69E-04,1.48E-03,9.59E-04,1.98E-03,5.11E-04,1.77E-04,2.81E-04,3.58E-05,2.50E-04,2.32E-04,1.43E-03,0.00E+00,1.40E-04,5.91E-04,1.36E-04,6.14E-04,8.43E-05,1.60E-04,2.05E-04,0.00E+00
ABLIM3,2.85E-04,8.91E-04,8.55E-05,0.00E+00,1.43E-04,0.00E+00,0.00E+00,9.67E-06,7.26E-07,8.98E-04,4.18E-04,6.74E-04,0.00E+00,2.95E-04,0.00E+00,9.91E-04,3.01E-04,1.10E-03,5.78E-04,0.00E+00
ABRAXAS2,2.13E-04,2.68E-04,2.47E-04,2.32E-04,1.81E-04,2.01E-04,2.42E-04,1.52E-04,3.38E-04,0.00E+00,1.98E-04,1.13E-04,1.69E-05,2.20E-04,2.58E-04,5.96E-04,2.44E-04,6.83E-04,1.83E-04,2.39E-04
ABTB2,1.32E-04,1.97E-05,0.00E+00,0.00E+00,0.00E+00,3.24E-04,3.41E-05,0.00E+00,7.23E-05,2.07E-04,2.59E-05,2.25E-04,8.17E-05,0.00E+00,0.00E+00,1.50E-04,1.14E-04,6.84E-04,1.09E-03,4.63E-04
AC002066.1,7.41E-05,6.00E-05,6.01E-06,2.60E-05,1.67E-05,0.00E+00,0.00E+00,7.71E-05,3.72E-06,1.85E-05,2.07E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.71E-05,1.87E-04,0.00E+00,0.00E+00,0.00E+00
AC002076.1,5.12E-06,7.49E-05,5.65E-05,0.00E+00,0.00E+00,1.78E-05,0.00E+00,6.50E-04,0.00E+00,0.00E+00,2.60E-05,0.00E+00,7.60E-05,1.55E-05,0.00E+00,0.00E+00,6.28E-05,7.24E-05,3.08E-05,0.00E+00
AC002401.4,3.12E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.74E-04,0.00E+00,0.00E+00,6.16E-05,4.13E-05,5.13E-04,0.00E+00,0.00E+00,2.89E-04
AC004816.1,2.16E-04,0.00E+00,5.99E-05,0.00E+00,7.96E-05,3.99E-05,6.87E-05,0.00E+00,6.63E-05,5.37E-04,6.13E-04,6.60E-04,1.17E-04,4.69E-05,0.00E+00,0.00E+00,9.27E-04,6.05E-04,4.44E-04,1.08E-04
AC005863.1,5.47E-05,4.10E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.79E-04,1.61E-05,0.00E+00,6.11E-05,0.00E+00,0.00E+00,0.00E+00,5.33E-04,1.38E-04,0.00E+00
AC007099.1,0.00E+00,9.34E-06,0.00E+00,6.02E-04,0.00E+00,8.95E-05,0.00E+00,0.00E+00,0.00E+00,3.18E-04,0.00E+00,0.00E+00,1.12E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.92E-05,0.00E+00,0.00E+00
AC007216.3,3.53E-04,7.35E-04,6.71E-04,0.00E+00,0.00E+00,1.86E-04,0.00E+00,3.73E-05,0.00E+00,6.15E-05,0.00E+00,0.00E+00,1.02E-03,5.93E-04,9.01E-05,5.88E-05,0.00E+00,1.94E-04,3.03E-04,7.37E-04
AC007681.1,0.00E+00,0.00E+00,3.85E-04,1.39E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.80E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
AC007906.2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.25E-03,0.00E+00,1.91E-05,6.92E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.18E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
AC008074.3,1.78E-04,2.09E-04,3.75E-05,0.00E+00,0.00E+00,2.94E-05,1.20E-04,0.00E+00,1.01E-04,7.14E-05,2.60E-04,0.00E+00,1.14E-04,3.47E-04,3.84E-05,0.00E+00,4.24E-06,0.00E+00,4.95E-05,1.24E-05
AC008760.2,0.00E+00,8.86E-05,2.76E-04,5.30E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.68E-04,1.67E-03,0.00E+00,0.00E+00
AC009055.2,0.00E+00,1.90E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.85E-05,7.29E-05,5.39E-04,3.27E-04,0.00E+00,0.00E+00,1.24E-03,5.73E-05,0.00E+00,0.00E+00,4.38E-06,0.00E+00,0.00E+00
AC010168.2,8.59E-05,8.49E-04,2.42E-04,4.75E-05,3.46E-04,3.19E-04,1.87E-04,2.41E-05,1.59E-05,1.01E-04,5.85E-05,0.00E+00,6.33E-05,3.56E-04,1.37E-03,0.00E+00,1.70E-04,3.59E-05,4.06E-05,8.83E-05
AC010401.3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.35E-04,0.00E+00,0.00E+00,0.00E+00,7.59E-06,8.88E-05,4.73E-03,0.00E+00,0.00E+00,3.02E-05,0.00E+00,0.00E+00,0.00E+00
AC011379.2,3.40E-05,1.56E-05,6.33E-05,8.67E-05,3.65E-05,2.46E-06,1.88E-04,0.00E+00,1.17E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.48E-05,5.89E-05,4.30E-04,7.19E-04,0.00E+00,0.00E+00,5.12E-05
AC012213.4,1.75E-04,2.02E-04,3.88E-05,0.00E+00,6.20E-05,0.00E+00,8.48E-04,0.00E+00,6.73E-05,0.00E+00,7.40E-05,0.00E+00,0.00E+00,1.06E-05,1.19E-04,8.58E-05,1.32E-04,2.28E-05,5.91E-05,9.56E-06
AC013264.1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.24E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.11E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
AC015912.3,1.57E-06,0.00E+00,0.00E+00,1.38E-04,4.63E-05,8.62E-06,0.00E+00,2.58E-04,1.00E-04,1.67E-03,0.00E+00,0.00E+00,1.36E-05,0.00E+00,1.43E-05,0.00E+00,1.44E-04,0.00E+00,0.00E+00,2.39E-05
AC019349.1,0.00E+00,2.06E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.76E-04,2.80E-03,0.00E+00,1.43E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
AC022075.1,5.78E-04,3.26E-04,0.00E+00,0.00E+00,1.76E-04,7.24E-05,1.61E-05,4.82E-05,3.58E-04,0.00E+00,4.37E-05,0.00E+00,1.95E-04,7.07E-04,1.33E-04,0.00E+00,1.01E-04,0.00E+00,1.04E-03,9.74E-04
AC023157.3,4.79E-05,3.75E-04,0.00E+00,3.95E-04,5.98E-05,1.80E-04,7.90E-05,2.16E-05,6.74E-06,7.14E-04,0.00E+00,3.63E-05,1.51E-04,1.16E-04,3.42E-04,0.00E+00,1.32E-04,3.84E-04,0.00E+00,0.00E+00
AC024940.1,0.00E+00,0.00E+00,2.04E-05,0.00E+00,1.45E-05,0.00E+00,8.00E-04,9.83E-05,0.00E+00,9.74E-05,7.12E-05,0.00E+00,0.00E+00,6.69E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.25E-04,1.35E-05
AC025262.2,0.00E+00,0.00E+00,1.51E-04,0.00E+00,2.03E-05,1.21E-04,0.00E+00,1.55E-05,0.00E+00,0.00E+00,0.00E+00,1.80E-05,9.53E-07,1.47E-04,1.37E-04,8.63E-04,9.99E-04,0.00E+00,0.00E+00,0.00E+00
AC027176.3,6.67E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.66E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.05E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
AC027281.1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.74E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.95E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.99E-06
AC027575.4,6.50E-05,5.16E-05,8.47E-05,4.44E-05,1.22E-04,6.16E-05,0.00E+00,0.00E+00,1.61E-04,0.00E+00,0.00E+00,1.07E-04,0.00E+00,4.52E-05,8.86E-06,2.20E-05,4.38E-05,1.17E-04,1.77E-05,5.03E-05
AC084033.3,1.24E-04,0.00E+00,3.60E-05,1.94E-05,1.74E-03,1.23E-04,1.86E-04,3.27E-04,4.79E-05,0.00E+00,0.00E+00,2.38E-05,5.23E-05,0.00E+00,0.00E+00,1.18E-05,0.00E+00,0.00E+00,2.15E-06,1.66E-04
AC089983.1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.98E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.13E-04,0.00E+00,5.25E-04,0.00E+00,4.28E-04,0.00E+00,3.95E-05
AC092071.1,0.00E+00,1.35E-04,2.97E-04,1.50E-04,6.23E-05,3.68E-05,0.00E+00,0.00E+00,4.29E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.85E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
AC092718.6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.12E-04,1.49E-03,0.00E+00,0.00E+00
AC092953.2,8.87E-05,5.02E-05,4.28E-05,0.00E+00,3.17E-05,0.00E+00,4.51E-06,9.23E-06,4.89E-05,0.00E+00,0.00E+00,0.00E+00,4.88E-05,5.83E-06,0.00E+00,8.47E-05,1.45E-05,1.01E-04,2.17E-06,2.79E-05
AC093908.1,4.52E-05,2.41E-05,0.00E+00,0.00E+00,0.00E+00,1.99E-04,0.00E+00,6.29E-05,3.81E-06,7.64E-05,1.32E-04,0.00E+00,1.66E-04,7.42E-06,0.00E+00,0.00E+00,1.29E-03,0.00E+00,5.29E-05,1.23E-04
AC104126.1,4.65E-04,6.31E-04,8.30E-04,1.91E-04,0.00E+00,0.00E+00,0.00E+00,4.20E-05,4.65E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.60E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
AC104958.2,0.00E+00,0.00E+00,1.07E-04,1.35E-04,2.97E-04,1.26E-03,0.00E+00,0.00E+00,2.63E-05,0.00E+00,9.81E-06,0.00E+00,5.41E-05,0.00E+00,1.51E-04,0.00E+00,1.97E-05,1.23E-04,0.00E+00,0.00E+00
AC105285.1,4.99E-05,3.77E-05,1.16E-04,0.00E+00,5.59E-05,3.89E-05,0.00E+00,7.89E-05,6.58E-05,1.80E-05,8.00E-05,0.00E+00,6.97E-05,1.03E-04,1.88E-04,4.39E-05,1.81E-04,1.26E-04,1.57E-05,3.13E-05
AC106712.1,0.00E+00,0.00E+00,2.65E-05,3.03E-05,1.19E-05,0.00E+00,5.61E-05,0.00E+00,4.86E-06,0.00E+00,0.00E+00,3.84E-05,0.00E+00,1.24E-04,0.00E+00,0.00E+00,0.00E+00,6.79E-04,0.00E+00,0.00E+00
AC108451.1,6.25E-05,2.02E-05,9.37E-05,0.00E+00,1.56E-05,0.00E+00,5.00E-05,2.57E-04,1.18E-05,0.00E+00,0.00E+00,0.00E+00,1.98E-05,1.13E-04,7.52E-05,2.49E-05,3.60E-06,4.76E-05,2.52E-05,8.41E-05
AC124319.1,7.78E-05,1.04E-04,1.86E-04,0.00E+00,2.45E-05,6.21E-05,7.86E-05,8.77E-05,7.23E-05,0.00E+00,3.27E-06,0.00E+00,0.00E+00,7.32E-05,2.18E-03,0.00E+00,5.54E-04,1.32E-03,3.93E-05,9.39E-05
AC130710.1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.02E-06,1.36E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.47E-05,1.08E-03,0.00E+00,0.00E+00,0.00E+00
AC233702.10,0.00E+00,3.66E-05,5.18E-05,6.91E-05,1.96E-05,1.01E-04,0.00E+00,0.00E+00,4.83E-05,0.00E+00,0.00E+00,2.71E-05,8.58E-06,8.06E-05,0.00E+00,7.14E-04,1.06E-03,0.00E+00,0.00E+00,8.18E-05
ACBD3-AS1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.47E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.41E-05,4.52E-06,0.00E+00,0.00E+00,4.70E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ACKR3,2.48E-03,1.43E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E-04,0.00E+00,4.37E-04,2.06E-04,0.00E+00,0.00E+00,4.65E-04,0.00E+00,1.25E-04,0.00E+00,0.00E+00,6.44E-04
ACSL1,1.48E-04,7.22E-04,6.91E-04,1.06E-03,1.08E-04,1.78E-03,2.36E-04,2.02E-04,0.00E+00,4.67E-04,1.37E-04,0.00E+00,1.19E-03,1.56E-04,5.80E-04,4.28E-04,4.93E-05,1.30E-03,4.33E-04,1.88E-04
ACSL3,6.05E-04,8.67E-04,9.02E-04,6.63E-04,2.44E-04,5.57E-04,2.70E-04,4.62E-04,2.14E-04,0.00E+00,1.35E-04,3.51E-04,2.29E-04,6.77E-04,8.07E-04,3.90E-04,1.25E-03,1.34E-03,3.61E-05,3.04E-04
ACTA1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.19E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.82E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.90E-04,0.00E+00
ACTB,3.03E-04,1.37E-04,5.42E-04,9.26E-04,3.28E-04,4.45E-04,1.28E-04,6.65E-04,4.41E-04,2.86E-04,8.98E-04,2.68E-03,0.00E+00,2.57E-04,2.72E-04,1.44E-03,4.89E-04,1.19E-03,2.14E-03,7.50E-04
ACTBL2,0.00E+00,0.00E+00,2.22E-04,1.46E-04,0.00E+00,0.00E+00,0.00E+00,2.04E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.54E-05,0.00E+00,7.17E-04,1.52E-04,2.01E-06
ACTG1,8.97E-04,2.85E-04,5.35E-04,9.71E-04,1.24E-04,6.93E-04,2.57E-04,6.59E-04,1.35E-03,7.19E-04,1.14E-03,2.38E-03,0.00E+00,2.99E-04,0.00E+00,1.11E-03,6.77E-04,8.43E-04,1.38E-03,9.17E-04
ACTN1,4.74E-04,0.00E+00,5.28E-05,1.13E-04,2.29E-04,1.19E-04,3.13E-05,6.03E-04,1.26E-04,0.00E+00,0.00E+00,2.53E-03,4.03E-05,1.36E-04,0.00E+00,6.18E-04,5.91E-04,0.00E+00,1.21E-03,2.36E-03
ACTN4,1.15E-03,1.03E-03,4.65E-04,8.30E-04,9.57E-04,1.94E-04,7.74E-05,6.16E-04,4.41E-04,3.44E-04,1.31E-03,1.27E-03,3.83E-04,1.07E-03,1.03E-03,6.05E-04,6.19E-04,9.59E-04,1.06E-03,1.33E-03
ACTR2,8.77E-04,1.05E-03,7.25E-04,6.46E-04,5.57E-04,6.16E-04,4.32E-04,3.90E-04,8.66E-04,3.56E-04,9.47E-04,7.54E-04,4.07E-04,3.66E-04,2.06E-04,8.46E-04,8.14E-04,7.15E-04,6.30E-04,5.88E-04
ACTR3,5.97E-04,6.31E-04,6.36E-04,4.31E-04,4.19E-04,4.43E-04,2.91E-04,4.14E-04,7.05E-04,3.67E-04,8.65E-04,1.25E-03,1.80E-04,4.09E-04,2.98E-04,9.78E-04,1.10E-03,6.45E-04,6.86E-04,4.05E-04
AD000090.1,1.20E-04,3.71E-04,1.41E-04,1.41E-04,1.06E-03,2.52E-04,1.22E-04,8.56E-05,1.70E-05,0.00E+00,8.14E-05,0.00E+00,3.64E-05,1.40E-03,1.30E-03,0.00E+00,1.02E-04,1.27E-04,7.06E-05,1.52E-04
ADAM12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.27E-04,0.00E+00,0.00E+00,8.30E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.10E-04,2.07E-03
ADAM19,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.27E-04,3.75E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.81E-03,2.27E-03
ADAM23,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.38E-05,0.00E+00,2.68E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ADAM28,2.88E-04,3.81E-04,6.89E-04,8.89E-04,0.00E+00,2.75E-04,7.83E-04,2.22E-05,4.65E-04,0.00E+00,0.00E+00,7.76E-05,2.77E-04,1.58E-03,9.42E-04,0.00E+00,1.76E-04,2.35E-04,6.47E-05,3.42E-04
ADAM8,0.00E+00,0.00E+00,1.09E-04,0.00E+00,1.17E-04,0.00E+00,6.19E-05,0.00E+00,0.00E+00,6.03E-04,0.00E+00,9.79E-04,4.41E-07,4.84E-04,3.07E-04,1.56E-03,6.88E-04,2.53E-04,6.40E-04,0.00E+00
ADAM9,9.56E-04,1.33E-03,7.59E-04,3.72E-04,9.07E-05,4.26E-05,1.36E-05,0.00E+00,0.00E+00,6.80E-04,0.00E+00,1.00E-03,4.57E-04,1.37E-03,0.00E+00,6.68E-04,3.20E-04,1.18E-03,1.14E-03,1.45E-04
ADAMTS1,7.91E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.04E-04,0.00E+00,2.29E-03,1.12E-03,0.00E+00,2.07E-05,1.62E-04,0.00E+00,0.00E+00,7.85E-04,0.00E+00
ADAMTS15,3.57E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.47E-05,0.00E+00,0.00E+00,0.00E+00,7.03E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.45E-04,1.04E-03
ADAMTS5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.04E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.91E-04
ADAMTS7,0.00E+00,1.44E-04,3.31E-05,0.00E+00,1.03E-05,2.54E-05,0.00E+00,2.17E-05,0.00E+00,0.00E+00,0.00E+00,8.27E-06,0.00E+00,0.00E+00,3.12E-04,0.00E+00,0.00E+00,0.00E+00,9.52E-04,1.40E-03
ADAMTS9,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.10E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.79E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.76E-03,0.00E+00
ADAMTSL4,8.98E-04,1.30E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.35E-05,1.04E-03,0.00E+00,0.00E+00,1.16E-04,4.53E-04,0.00E+00,5.80E-04,2.65E-04,0.00E+00,0.00E+00
ADAR,3.31E-04,3.35E-04,3.43E-04,3.04E-04,3.32E-04,3.27E-04,2.71E-04,6.54E-05,2.87E-04,3.55E-04,0.00E+00,3.29E-04,1.47E-04,2.72E-04,1.77E-03,9.76E-04,9.91E-04,8.89E-04,2.54E-04,4.23E-04
ADCYAP1,6.34E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E-02,3.42E-05,0.00E+00,0.00E+00,0.00E+00,2.84E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.99E-06,0.00E+00,0.00E+00,0.00E+00
ADD3,1.38E-03,9.42E-04,4.05E-04,4.43E-04,7.96E-04,1.51E-04,0.00E+00,5.10E-05,1.20E-03,2.03E-04,8.73E-04,0.00E+00,1.19E-04,9.30E-04,1.16E-03,0.00E+00,3.15E-04,9.62E-04,5.85E-04,2.25E-04
ADGRF1,1.39E-03,1.28E-03,1.17E-03,2.39E-04,6.64E-04,5.04E-04,0.00E+00,0.00E+00,3.44E-04,5.66E-04,1.70E-04,0.00E+00,0.00E+00,1.79E-04,7.58E-04,0.00E+00,0.00E+00,8.61E-04,0.00E+00,0.00E+00
ADGRF4,2.85E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.30E-05,0.00E+00,0.00E+00,1.33E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E-03,4.73E-04,3.05E-04,1.75E-03,9.17E-04
ADGRF5,0.00E+00,0.00E+00,6.97E-05,3.18E-04,1.38E-05,7.14E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.65E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ADGRG1,6.06E-04,7.70E-04,4.83E-04,5.78E-04,2.14E-04,2.93E-04,1.14E-03,1.97E-04,2.54E-04,3.71E-04,6.73E-04,9.37E-05,4.36E-04,5.07E-04,1.70E-04,7.57E-04,4.03E-04,5.24E-04,9.40E-04,1.19E-03
ADH1C,0.00E+00,0.00E+00,0.00E+00,2.43E-03,2.75E-04,3.28E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ADH7,6.83E-04,0.00E+00,0.00E+00,0.00E+00,8.55E-04,0.00E+00,0.00E+00,3.05E-04,1.73E-03,0.00E+00,6.13E-04,0.00E+00,0.00E+00,5.06E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ADIPOR1,7.85E-04,1.05E-03,7.38E-04,4.48E-04,7.54E-04,4.18E-04,5.79E-04,2.85E-04,4.49E-04,8.08E-04,8.24E-04,5.13E-04,1.69E-04,5.33E-04,3.07E-04,7.69E-04,5.36E-04,1.07E-03,4.76E-04,2.17E-04
ADIRF,1.51E-04,0.00E+00,0.00E+00,8.53E-05,1.94E-05,0.00E+00,8.42E-05,5.26E-04,7.22E-04,2.72E-03,1.89E-03,0.00E+00,0.00E+00,0.00E+00,1.39E-04,0.00E+00,1.43E-03,3.24E-04,4.33E-05,0.00E+00
ADK,6.41E-04,1.60E-04,2.78E-04,1.04E-04,3.69E-05,9.49E-05,2.53E-05,3.92E-04,4.90E-04,6.81E-05,5.03E-04,6.09E-04,2.17E-04,2.14E-04,9.31E-05,1.18E-03,6.20E-04,1.70E-04,1.04E-04,3.06E-04
ADM,1.09E-03,8.49E-04,3.59E-04,1.95E-04,0.00E+00,5.06E-04,0.00E+00,0.00E+00,9.45E-05,4.23E-04,0.00E+00,3.61E-04,4.79E-04,0.00E+00,7.10E-04,4.48E-04,9.51E-05,1.01E-03,0.00E+00,3.74E-04
ADM2,0.00E+00,0.00E+00,1.76E-04,1.71E-04,0.00E+00,1.08E-05,4.55E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E-04,0.00E+00,9.12E-05,1.47E-05,1.29E-03,9.22E-04,2.29E-04,2.50E-04,5.57E-05
ADRA2A,0.00E+00,0.00E+00,5.55E-04,2.52E-04,0.00E+00,0.00E+00,4.43E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.69E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ADRA2C,0.00E+00,8.41E-06,0.00E+00,4.96E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.82E-05,1.61E-05,0.00E+00,1.55E-05,1.39E-04,0.00E+00,2.11E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ADRB2,1.92E-04,7.99E-04,1.28E-03,1.45E-05,1.02E-04,0.00E+00,0.00E+00,6.51E-06,8.93E-05,4.42E-05,3.28E-04,1.03E-04,0.00E+00,0.00E+00,2.06E-04,7.99E-04,9.03E-05,3.51E-04,0.00E+00,0.00E+00
ADSSL1,3.75E-04,1.85E-03,3.55E-04,0.00E+00,4.83E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.49E-04,0.00E+00,2.66E-04,0.00E+00,1.80E-04,0.00E+00,2.67E-06,0.00E+00,0.00E+00,1.80E-04
AF165147.1,1.32E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.36E-03,0.00E+00,0.00E+00,0.00E+00,2.68E-05,0.00E+00,0.00E+00,0.00E+00
