,Basal,Secretory-1,Secretory-2,Secretory-3,Multiciliated,Ionocyte/Tuft,PNEC,Cell cycle,Ribosomal,Shared-1,Shared-2,Shared-3,CHIR,IL13,IFNA,IFNG-1,IFNG-2,IFNG-3,TGFB1-1,TGFB1-2
NTN4,1.23E-04,1.66E-03,3.43E-04,3.28E-04,2.50E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E-04,0.00E+00,8.43E-04,0.00E+00,8.85E-05,2.23E-04,2.25E-03,7.03E-04,6.08E-05
NTRK2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.88E-06,1.10E-04,0.00E+00,0.00E+00,0.00E+00,6.62E-04,1.15E-03,3.18E-05,0.00E+00,2.16E-05,0.00E+00,3.91E-06,7.73E-05
NUAK1,1.46E-04,1.02E-04,1.18E-04,2.90E-04,9.13E-05,8.85E-05,6.15E-05,0.00E+00,8.85E-05,1.50E-05,0.00E+00,9.41E-04,0.00E+00,2.79E-04,0.00E+00,1.48E-04,0.00E+00,8.87E-05,4.97E-04,2.10E-03
NUB1,2.13E-04,2.79E-04,2.96E-04,4.13E-04,3.30E-04,2.97E-04,7.94E-05,1.20E-04,2.95E-04,0.00E+00,0.00E+00,1.36E-04,0.00E+00,2.18E-04,1.93E-03,2.02E-04,1.11E-03,5.32E-04,2.89E-04,2.25E-04
NUCB2,4.03E-05,0.00E+00,1.15E-03,8.34E-04,2.53E-03,0.00E+00,5.45E-04,5.06E-04,1.46E-04,0.00E+00,0.00E+00,2.43E-05,1.37E-04,8.58E-04,5.09E-04,1.26E-05,0.00E+00,0.00E+00,0.00E+00,2.58E-04
NUDCD1,1.31E-04,1.95E-04,2.43E-04,4.85E-05,6.16E-05,1.08E-04,3.74E-04,2.17E-04,2.39E-04,0.00E+00,0.00E+00,4.88E-04,1.90E-05,1.06E-04,2.10E-04,4.60E-04,9.19E-04,1.59E-04,1.70E-04,9.87E-05
NUP93,1.66E-04,2.49E-04,2.35E-04,1.43E-04,2.26E-04,2.64E-04,2.19E-04,4.17E-04,3.00E-04,0.00E+00,1.47E-04,0.00E+00,5.42E-05,3.21E-04,3.07E-04,1.04E-03,6.41E-04,4.61E-04,1.90E-04,3.74E-04
NUPR1,0.00E+00,5.64E-05,1.94E-04,3.99E-04,5.18E-04,0.00E+00,0.00E+00,0.00E+00,4.72E-04,1.27E-04,0.00E+00,0.00E+00,1.90E-04,8.91E-05,3.21E-03,8.80E-04,1.18E-03,2.31E-04,3.52E-04,9.82E-04
NUSAP1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
NWD1,3.78E-05,1.47E-04,4.27E-05,9.51E-05,2.85E-03,0.00E+00,0.00E+00,0.00E+00,1.41E-04,0.00E+00,0.00E+00,0.00E+00,4.74E-05,2.27E-05,2.75E-04,2.62E-05,7.75E-05,1.36E-05,0.00E+00,2.18E-05
OAF,7.13E-05,2.03E-04,2.01E-04,2.00E-04,0.00E+00,0.00E+00,5.57E-05,8.46E-05,2.59E-04,0.00E+00,5.83E-04,0.00E+00,0.00E+00,3.52E-04,5.71E-04,1.82E-04,3.56E-04,0.00E+00,4.43E-04,1.47E-03
OAS1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.51E-07,0.00E+00,0.00E+00,2.99E-03,2.00E-04,4.81E-05,0.00E+00,5.90E-05,5.59E-03,8.08E-05,4.26E-04,1.41E-03,0.00E+00,0.00E+00
OAS2,0.00E+00,0.00E+00,4.32E-05,0.00E+00,1.69E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.12E-04,2.22E-05,5.43E-05,0.00E+00,7.31E-05,6.67E-03,0.00E+00,7.45E-04,2.65E-04,0.00E+00,1.84E-05
OAS3,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.66E-05,0.00E+00,1.24E-03,6.90E-05,2.03E-04,0.00E+00,0.00E+00,4.63E-03,2.90E-04,1.80E-03,6.92E-04,4.65E-05,3.47E-05
OASL,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.08E-03,5.54E-06,0.00E+00,0.00E+00,2.17E-04,4.33E-03,8.72E-05,1.49E-04,2.46E-04,0.00E+00,0.00E+00
OAT,4.74E-04,2.17E-05,7.94E-04,6.70E-04,1.17E-04,4.43E-04,1.75E-04,5.26E-04,1.32E-03,0.00E+00,1.81E-04,2.67E-04,0.00E+00,4.23E-04,1.72E-04,4.41E-04,2.79E-04,1.36E-03,1.18E-03,9.31E-04
OCIAD2,3.27E-04,2.73E-04,3.10E-04,3.44E-05,1.02E-04,4.82E-04,7.36E-04,4.16E-05,4.72E-04,0.00E+00,0.00E+00,1.42E-03,1.78E-03,3.05E-04,3.19E-04,1.42E-03,6.19E-04,1.37E-04,1.74E-03,8.70E-04
OCLN,0.00E+00,0.00E+00,3.44E-04,1.06E-04,1.58E-04,1.57E-04,0.00E+00,3.30E-05,0.00E+00,1.63E-03,5.99E-04,0.00E+00,3.82E-05,0.00E+00,0.00E+00,1.79E-03,0.00E+00,2.12E-03,1.32E-03,0.00E+00
ODAPH,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.91E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.83E-04,1.44E-03
ODC1,3.92E-04,0.00E+00,3.54E-04,6.49E-04,2.09E-04,2.92E-04,3.08E-04,9.06E-04,2.95E-04,6.45E-05,3.34E-04,8.46E-04,0.00E+00,0.00E+00,0.00E+00,8.22E-04,5.92E-04,0.00E+00,0.00E+00,0.00E+00
ODF3B,1.98E-05,3.46E-05,7.34E-05,1.57E-04,2.61E-03,0.00E+00,0.00E+00,0.00E+00,9.81E-06,0.00E+00,3.12E-05,0.00E+00,0.00E+00,0.00E+00,3.58E-04,0.00E+00,1.22E-05,0.00E+00,4.45E-05,1.23E-05
OLFM4,0.00E+00,0.00E+00,1.42E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
OLFML2B,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.64E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.83E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E-04,0.00E+00
OLR1,3.73E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.82E-04,3.73E-04,0.00E+00,7.11E-05,1.36E-04,1.62E-04,0.00E+00,0.00E+00,0.00E+00
OMG,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.17E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.14E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
OPN3,4.39E-04,6.16E-05,3.55E-04,0.00E+00,0.00E+00,1.70E-04,0.00E+00,4.55E-05,1.19E-04,0.00E+00,0.00E+00,1.95E-04,4.45E-04,7.11E-05,0.00E+00,5.88E-04,0.00E+00,1.08E-03,7.03E-04,3.13E-04
OPTN,5.92E-04,3.88E-04,2.28E-04,1.13E-04,2.06E-04,1.73E-04,3.11E-05,0.00E+00,1.63E-04,9.73E-05,3.61E-04,4.85E-04,4.03E-04,6.66E-04,1.21E-03,2.94E-04,1.35E-03,9.11E-04,4.06E-04,5.78E-04
OR4C13,2.23E-05,0.00E+00,4.11E-06,0.00E+00,0.00E+00,8.68E-06,0.00E+00,0.00E+00,6.88E-05,0.00E+00,3.32E-05,1.20E-04,0.00E+00,0.00E+00,1.90E-04,1.33E-04,6.46E-06,1.10E-05,2.54E-05,0.00E+00
OR51E1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.47E-02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
OSBPL6,5.00E-05,0.00E+00,0.00E+00,2.56E-05,1.33E-03,1.44E-04,3.84E-05,1.85E-04,9.57E-05,0.00E+00,6.63E-05,2.42E-04,3.11E-05,1.41E-04,9.45E-05,5.82E-04,4.32E-04,0.00E+00,0.00E+00,3.30E-04
OSMR,4.43E-04,6.19E-04,1.46E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E-04,2.77E-04,5.57E-04,5.07E-05,9.54E-04,8.11E-05,8.38E-04,3.82E-04,1.22E-03,2.56E-04,1.78E-04,6.06E-04,1.54E-04
OSTC,5.28E-04,5.09E-04,1.23E-03,6.59E-04,8.02E-05,1.89E-04,2.55E-04,3.76E-04,8.42E-04,1.33E-04,3.10E-04,7.74E-04,6.77E-04,3.92E-04,9.51E-05,4.44E-04,2.62E-04,4.56E-04,5.48E-04,9.42E-04
OSTM1,2.22E-04,3.95E-04,1.66E-04,1.36E-04,1.60E-04,2.34E-04,1.46E-05,1.43E-04,0.00E+00,4.39E-04,0.00E+00,4.66E-04,9.04E-04,3.45E-04,1.65E-04,4.16E-04,4.75E-04,3.26E-04,4.34E-04,1.17E-03
OTUD4,3.18E-04,3.99E-04,2.81E-04,3.38E-04,5.54E-04,4.01E-04,4.06E-04,2.59E-04,3.77E-04,0.00E+00,1.18E-04,3.25E-04,3.14E-05,2.69E-04,7.59E-04,7.70E-04,9.72E-04,4.73E-04,2.34E-04,1.58E-04
OVOL1,0.00E+00,1.85E-04,0.00E+00,2.68E-04,9.39E-06,2.08E-04,2.46E-05,0.00E+00,0.00E+00,4.00E-03,1.28E-03,0.00E+00,2.73E-04,0.00E+00,5.84E-05,2.83E-04,2.01E-04,1.21E-04,7.44E-04,0.00E+00
OXCT1,1.60E-04,0.00E+00,4.44E-04,3.09E-04,2.07E-05,7.84E-04,1.49E-04,1.28E-03,3.65E-04,0.00E+00,6.68E-05,0.00E+00,8.04E-05,3.25E-05,2.39E-05,2.37E-04,1.30E-04,2.51E-05,1.28E-04,3.10E-04
OXSR1,2.68E-04,3.65E-04,2.42E-04,1.30E-04,3.72E-05,2.10E-04,2.00E-04,1.86E-04,2.30E-04,5.30E-04,4.45E-04,7.19E-04,4.29E-04,2.64E-04,2.07E-04,1.60E-03,5.18E-04,4.26E-04,3.73E-04,1.77E-04
P3H2,1.21E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.10E-04,0.00E+00,5.27E-04,1.21E-04,1.55E-04,0.00E+00,1.18E-03,0.00E+00,0.00E+00,1.93E-04,3.38E-04,1.99E-04,2.88E-04,3.11E-05,0.00E+00
P4HA1,9.54E-04,7.56E-04,4.06E-04,1.86E-05,5.18E-04,9.65E-05,8.64E-05,1.03E-04,0.00E+00,8.61E-05,0.00E+00,8.26E-04,1.87E-03,0.00E+00,2.84E-04,2.15E-04,4.98E-04,1.56E-04,0.00E+00,3.99E-04
P4HA2,3.19E-04,6.94E-05,1.12E-04,4.39E-05,3.06E-04,1.83E-05,8.02E-05,1.87E-04,0.00E+00,0.00E+00,6.13E-05,1.26E-03,7.24E-04,2.89E-04,7.63E-05,5.13E-04,0.00E+00,1.88E-05,1.43E-03,1.60E-03
P4HB,1.00E-03,8.24E-04,1.75E-03,4.99E-04,8.49E-05,2.93E-04,1.39E-04,4.45E-04,4.18E-04,7.82E-04,6.77E-04,8.95E-04,1.15E-03,8.37E-04,7.46E-04,2.37E-04,7.79E-04,8.28E-05,4.44E-04,1.18E-03
PABPC1,6.17E-04,1.32E-03,8.38E-04,1.28E-03,2.01E-04,4.75E-04,1.96E-04,0.00E+00,3.47E-03,6.59E-04,6.87E-04,5.87E-04,7.36E-04,0.00E+00,0.00E+00,6.59E-04,6.95E-04,2.35E-04,3.80E-06,8.65E-05
PABPC4,7.28E-04,5.23E-04,5.22E-04,7.88E-04,1.13E-04,2.21E-04,1.48E-04,2.21E-04,1.72E-03,0.00E+00,5.92E-04,5.10E-04,3.99E-04,1.83E-04,0.00E+00,6.26E-04,5.04E-04,6.05E-05,0.00E+00,2.40E-04
PACRG,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.54E-03,5.16E-04,1.34E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.12E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
PADI1,0.00E+00,7.99E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.96E-04,1.88E-03,0.00E+00,2.37E-04,0.00E+00,8.55E-05,0.00E+00,7.56E-05,4.78E-04,0.00E+00,0.00E+00
PAG1,0.00E+00,1.30E-03,5.69E-04,1.13E-04,0.00E+00,1.94E-04,0.00E+00,0.00E+00,4.72E-05,0.00E+00,0.00E+00,4.19E-04,0.00E+00,0.00E+00,5.88E-04,1.72E-04,2.07E-04,0.00E+00,0.00E+00,3.89E-05
PAICS,6.25E-04,0.00E+00,2.33E-04,2.64E-04,9.15E-05,3.16E-04,3.05E-04,1.69E-03,1.05E-03,0.00E+00,0.00E+00,3.00E-04,2.69E-04,0.00E+00,5.75E-05,6.40E-04,4.41E-04,0.00E+00,0.00E+00,8.02E-05
PALB2,2.18E-04,2.56E-04,1.65E-04,1.55E-04,2.30E-05,1.18E-04,3.55E-05,2.51E-04,2.17E-04,0.00E+00,2.36E-04,0.00E+00,1.31E-05,1.96E-04,1.54E-04,2.95E-04,2.58E-04,3.64E-04,1.75E-04,1.53E-04
PALLD,5.92E-04,0.00E+00,2.90E-04,3.82E-04,1.73E-04,1.23E-04,2.06E-05,2.27E-04,2.14E-04,0.00E+00,0.00E+00,7.93E-04,5.04E-04,1.43E-04,0.00E+00,8.99E-04,0.00E+00,1.71E-04,2.21E-03,1.60E-03
PALMD,9.94E-04,0.00E+00,1.79E-05,3.79E-05,5.52E-04,1.96E-05,0.00E+00,0.00E+00,1.03E-04,0.00E+00,9.33E-04,0.00E+00,1.81E-03,1.36E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.54E-04,6.13E-04
PAM,7.26E-04,8.99E-04,1.52E-03,9.44E-04,1.47E-05,1.08E-05,1.75E-03,0.00E+00,0.00E+00,3.41E-04,9.19E-05,2.69E-04,1.51E-03,4.46E-04,7.23E-05,2.29E-04,2.48E-04,4.92E-04,5.15E-04,5.51E-04
PAMR1,3.95E-04,0.00E+00,0.00E+00,0.00E+00,1.57E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.62E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.02E-05,1.10E-03
PANX1,3.97E-04,2.12E-04,2.37E-04,1.59E-04,4.57E-05,1.59E-04,2.19E-04,2.42E-05,6.29E-05,1.46E-04,1.14E-04,7.02E-04,2.90E-04,1.35E-04,1.51E-04,4.05E-04,5.18E-04,3.18E-04,2.92E-04,4.00E-04
PANX2,2.36E-05,0.00E+00,5.22E-05,1.92E-04,1.01E-04,9.60E-07,1.40E-05,0.00E+00,1.88E-05,0.00E+00,0.00E+00,6.75E-05,0.00E+00,2.92E-04,1.89E-04,9.25E-04,0.00E+00,2.32E-04,5.65E-05,7.71E-05
PAPD5,2.21E-04,2.80E-04,2.68E-04,1.59E-04,4.47E-04,5.14E-04,2.33E-04,3.93E-04,2.69E-04,2.36E-05,1.69E-04,1.65E-04,1.25E-04,2.96E-04,3.58E-04,8.35E-04,5.38E-04,3.40E-04,3.17E-04,1.96E-04
