,Genes,Cell type,Log2FC,FDR
0,PI3,Secretory,1.1526573,8.884624525514588e-35
1,H19,Multiciliated,-1.2082666,0.016862116995896775
2,MTRNR2L8,Multiciliated,-1.0097642,1.1383809887537557e-21
