,Genes,Cell type,Log2FC,FDR
565,PARP14,Multiciliated,1.5210057,0.024250646924416135
566,PSAT1,Multiciliated,2.5775928,5.472168537556026e-05
567,RARRES1,Multiciliated,2.2032256,0.00041348782892685574
568,RARRES3,Multiciliated,1.2058351,0.0045455368770781065
569,RPL3,Multiciliated,-1.4559302,0.0005953273776257783
570,RPL4,Multiciliated,-1.1417518,0.032553351041500915
571,RPS11,Multiciliated,-1.0312192,0.004801415889722952
572,RPS26,Multiciliated,-1.7137272,0.02536748933199737
573,RPSA,Multiciliated,-1.4851003,0.027798899742849752
574,RSPH1,Multiciliated,-1.3872933,0.010680439065789136
575,S100P,Multiciliated,2.553314,0.0008115708309457288
576,SAA1,Multiciliated,2.4348965,5.645842418304671e-05
577,SAA2,Multiciliated,2.215966,2.5350099883416845e-05
578,SERF2,Multiciliated,-1.2163637,0.005090909900464569
579,STAT1,Multiciliated,2.522029,8.990677393201377e-08
580,TAP1,Multiciliated,1.933006,0.013738456199599933
581,TMSB4X,Multiciliated,1.0861838,0.007717753721192555
582,TXN,Multiciliated,1.358948,0.03224680987200715
583,WARS,Multiciliated,4.5278573,4.153231593821807e-12
