,Basal,Club,Goblet,Multiciliated,Rare
None,44.85659656,49.78967495,3.326959847,1.759082218,0.267686424
Leptin,,,,,
TNFA,,,,,
ActA,,,,,
OSM,58.20895522,37.57995736,3.304904051,0.906183369,0
HGF,,,,,
EGF,,,,,
FGF2,,,,,
Adipo,,,,,
IGF1,,,,,
FGF10,,,,,
IL17A,,,,,
IL13,,,,,
BMP4,,,,,
CHIR,,,,,
IFNA,,,,,
IFNG,62.76849642,25.05966587,1.789976134,10.38186158,0
TGFB1,,,,,
