,Genes,Cell type,Log2FC,FDR
0,ACKR3,Basal,-1.0437689,6.941259465859044e-96
1,ADIRF,Basal,1.634105,2.3614866854653242e-115
2,CCDC80,Basal,-1.1606746,2.309561038258445e-80
3,CCND1,Basal,1.0121894,1.713290298223849e-57
4,CDKN1A,Basal,1.0241454,2.1351947682644776e-44
5,DUSP5,Basal,1.1457531,1.6448360285056352e-55
6,FN1,Basal,2.037789,0.0005798361214706288
7,GPNMB,Basal,-1.4480388,1.1486990312662162e-78
8,IGFBP3,Basal,-2.1572185,1.1330970443265493e-304
9,KLF6,Basal,1.1504412,1.3252874978154706e-94
10,KRT14,Basal,1.092721,5.154584347962704e-07
11,KRT4,Basal,1.4253068,3.4481948585726546e-05
12,LCN2,Basal,1.3135526,7.563427108202144e-17
13,LINC01641,Basal,-1.4425364,2.3614866854653242e-115
14,LY6D,Basal,1.11416,4.708628847596759e-19
15,MT1X,Basal,-1.404139,7.491964689317213e-74
16,MTRNR2L8,Basal,1.110296,5.527535118755922e-90
17,RPL31,Basal,-1.0439587,7.18085880821505e-178
18,RPS13,Basal,-1.1641208,6.693510577275916e-154
19,RPS4Y1,Basal,1.21196,1.9909447300346063e-98
20,SERPINE1,Basal,1.2136099,0.00024122200211045697
21,TM4SF1,Basal,1.1600751,1.3960259324717474e-62
22,TTC19,Basal,-2.7884765,5.381960110579634e-262
23,WFDC2,Basal,-1.2394774,1.70261736292604e-27
24,XIST,Basal,-1.2916957,8.172461871883066e-71
25,ANXA2,Secretory,1.0528994,1.7293256202977573e-176
26,BPIFA1,Secretory,-1.8620548,2.2047163017146763e-118
27,BPIFB1,Secretory,-1.3660426,1.437089128704181e-65
28,CCND1,Secretory,1.5051633,1.5141232848346065e-73
29,CDKN1A,Secretory,1.3686926,3.2815471856939035e-68
30,CYP2F1,Secretory,-1.5670161,1.3817936024040128e-49
31,DUSP5,Secretory,1.0940003,2.5742678445242356e-41
32,F3,Secretory,1.2277169,3.1744286675262567e-75
33,GDF15,Secretory,1.0783701,5.579522091320811e-19
34,KRT13,Secretory,1.3664432,3.476109611424697e-13
35,KRT4,Secretory,1.5246534,5.0065343406284364e-30
36,KRT5,Secretory,1.3523263,3.7971877781814347e-16
37,LY6D,Secretory,1.5496188,1.434453085064808e-31
38,MTRNR2L8,Secretory,1.0295982,1.06847145979556e-62
39,PLAU,Secretory,1.3279823,2.9017462913620647e-15
40,S100A10,Secretory,1.4549261,2.2106351110046744e-54
41,S100A2,Secretory,1.4299711,2.802061580965284e-12
42,SCGB3A1,Secretory,-1.7900386,6.727940902505139e-66
43,SERPINB2,Secretory,1.249906,6.653638459805446e-14
44,SLPI,Secretory,-1.0414853,2.024983634604978e-103
45,TM4SF1,Secretory,1.508082,4.657060260500418e-47
46,TTC19,Secretory,-1.3838341,3.8762360445106465e-55
47,XIST,Secretory,-1.2760851,2.0663833910652504e-28
48,BPIFA1,Multiciliated,-2.4706745,3.673581833299698e-38
49,BPIFB1,Multiciliated,-1.8953176,2.9028987614592192e-15
50,S100A2,Multiciliated,1.2727348,0.039329059786711494
51,SCGB3A1,Multiciliated,-2.2076116,5.7625698325492965e-19
