TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
7629000000.0	243895143.2	231378930.7	248150689.4
7630000000.0	243900390.8	231383256.5	248156727.7
7631000000.0	243905637.3	231387581.3	248162764.9
7632000000.0	243910882.8	231391905.3	248168801.1
7633000000.0	243916127.3	231396228.3	248174836.1
7634000000.0	243921370.7	231400550.4	248180870.0
7635000000.0	243926613.1	231404871.7	248186902.9
7636000000.0	243931854.4	231409192.0	248192934.6
7637000000.0	243937094.7	231413511.4	248198965.2
7638000000.0	243942334.0	231417830.0	248204994.8
7639000000.0	243947572.2	231422147.6	248211023.2
7640000000.0	243952809.4	231426464.4	248217050.6
7641000000.0	243958045.5	231430780.2	248223076.8
7642000000.0	243963280.6	231435095.2	248229102.0
7643000000.0	243968514.6	231439409.2	248235126.1
7644000000.0	243973747.6	231443722.4	248241149.0
7645000000.0	243978979.6	231448034.6	248247170.9
7646000000.0	243984210.6	231452346.0	248253191.7
7647000000.0	243989440.4	231456656.5	248259211.4
7648000000.0	243994669.3	231460966.1	248265230.0
7649000000.0	243999897.1	231465274.7	248271247.5
7650000000.0	244005123.9	231469582.5	248277263.9
7651000000.0	244010349.6	231473889.4	248283279.2
7652000000.0	244015574.4	231478195.4	248289293.4
7653000000.0	244020798.0	231482500.5	248295306.6
7654000000.0	244026020.7	231486804.7	248301318.6
7655000000.0	244031242.3	231491108.0	248307329.6
7656000000.0	244036462.8	231495410.5	248313339.4
7657000000.0	244041682.3	231499712.0	248319348.2
7658000000.0	244046900.8	231504012.6	248325355.9
7659000000.0	244052118.3	231508312.4	248331362.5
7660000000.0	244057334.7	231512611.2	248337368.0
7661000000.0	244062550.1	231516909.2	248343372.4
7662000000.0	244067764.5	231521206.3	248349375.7
7663000000.0	244072977.8	231525502.4	248355377.9
7664000000.0	244078190.1	231529797.7	248361379.1
7665000000.0	244083401.3	231534092.1	248367379.1
7666000000.0	244088611.5	231538385.6	248373378.1
7667000000.0	244093820.7	231542678.2	248379376.0
7668000000.0	244099028.9	231546970.0	248385372.8
7669000000.0	244104236.0	231551260.8	248391368.5
7670000000.0	244109442.1	231555550.7	248397363.1
7671000000.0	244114647.2	231559839.8	248403356.6
7672000000.0	244119851.2	231564128.0	248409349.1
7673000000.0	244125054.2	231568415.2	248415340.4
7674000000.0	244130256.2	231572701.6	248421330.7
7675000000.0	244135457.1	231576987.1	248427319.9
7676000000.0	244140657.1	231581271.8	248433308.0
7677000000.0	244145855.9	231585555.5	248439295.0
7678000000.0	244151053.8	231589838.3	248445281.0
7679000000.0	244156250.6	231594120.3	248451265.8
7680000000.0	244161446.4	231598401.3	248457249.6
7681000000.0	244166641.2	231602681.5	248463232.3
7682000000.0	244171834.9	231606960.8	248469213.9
7683000000.0	244177027.7	231611239.2	248475194.4
7684000000.0	244182219.3	231615516.8	248481173.8
7685000000.0	244187410.0	231619793.4	248487159.5
7686000000.0	244192599.6	231624069.1	248493157.3
