TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
4985000000.0	272322102.9	268061260.2	286369181.4
4986000000.0	272333191.3	268071688.9	286383080.1
4987000000.0	272344276.4	268082114.4	286396975.0
4988000000.0	272355358.0	268092536.6	286410866.0
4989000000.0	272366436.3	268102955.6	286424753.2
4990000000.0	272377511.2	268113371.3	286438636.6
4991000000.0	272388582.6	268123783.8	286452516.2
4992000000.0	272399650.7	268134193.1	286466391.9
4993000000.0	272410715.4	268144599.1	286480263.8
4994000000.0	272421776.8	268155001.8	286494131.8
4995000000.0	272432834.7	268165401.4	286507996.1
4996000000.0	272443889.3	268175797.6	286521856.5
4997000000.0	272454940.5	268186190.7	286535713.1
4998000000.0	272465988.3	268196580.5	286549565.9
4999000000.0	272477032.7	268206967.1	286563414.9
5000000000.0	272488073.7	268217350.5	286577260.0
5001000000.0	272499111.4	268227730.6	286591101.4
5002000000.0	272510145.7	268238107.5	286604938.9
5003000000.0	272521176.6	268248481.1	286618772.6
5004000000.0	272532204.2	268258851.6	286632602.5
5005000000.0	272543228.4	268269218.8	286646428.6
5006000000.0	272554249.2	268279582.8	286660250.9
5007000000.0	272565266.7	268289943.6	286674069.4
5008000000.0	272576280.8	268300301.2	286687884.1
5009000000.0	272587291.5	268310655.5	286701694.9
5010000000.0	272598298.9	268321006.6	286715502.0
5011000000.0	272609302.9	268331354.6	286729305.3
5012000000.0	272620303.6	268341699.3	286743104.8
5013000000.0	272631300.9	268352040.8	286756900.5
5014000000.0	272642294.8	268362379.0	286770692.4
5015000000.0	272653285.4	268372714.1	286784480.5
5016000000.0	272664272.7	268383046.0	286798264.8
5017000000.0	272675256.6	268393374.7	286812045.3
5018000000.0	272686237.1	268403700.1	286825822.1
5019000000.0	272697214.3	268414022.4	286839595.0
5020000000.0	272708188.2	268424341.4	286853364.2
5021000000.0	272719158.7	268434657.3	286867129.6
5022000000.0	272730125.9	268444970.0	286880891.2
5023000000.0	272741089.7	268455279.4	286894649.0
5024000000.0	272752050.2	268465585.7	286908403.1
5025000000.0	272763007.4	268475888.8	286922153.4
5026000000.0	272773961.2	268486188.6	286935899.9
5027000000.0	272784911.7	268496485.3	286949642.6
5028000000.0	272795858.8	268506778.9	286963381.6
5029000000.0	272806802.7	268517069.2	286977116.7
5030000000.0	272817743.2	268527356.3	286990848.2
5031000000.0	272828680.3	268537640.3	287004575.8
5032000000.0	272839614.2	268547921.0	287018299.7
5033000000.0	272850544.7	268558198.6	287032019.8
5034000000.0	272861471.9	268568473.0	287045736.2
5035000000.0	272872395.8	268578744.2	287059448.8
5036000000.0	272883316.3	268589012.3	287073157.7
5037000000.0	272894233.5	268599277.2	287086862.8
5038000000.0	272905147.5	268609538.9	287100564.1
5039000000.0	272916058.0	268619797.4	287114261.7
5040000000.0	272926965.3	268630052.7	287127955.5
5041000000.0	272937869.3	268640304.9	287141645.6
5042000000.0	272948770.0	268650554.0	287155331.9
5043000000.0	272959667.3	268660799.8	287169014.5
5044000000.0	272970561.4	268671042.5	287182693.3
5045000000.0	272981452.1	268681282.0	287196368.4
5046000000.0	272992339.5	268691518.4	287210039.8
5047000000.0	273003223.7	268701751.6	287223707.4
5048000000.0	273014104.5	268711981.6	287237371.3
5049000000.0	273024982.0	268722208.5	287251031.4
5050000000.0	273035856.2	268732432.2	287264687.8
5051000000.0	273046727.2	268742652.8	287278340.4
5052000000.0	273057594.8	268752870.2	287291989.4
5053000000.0	273068459.1	268763084.5	287305634.6
5054000000.0	273079320.2	268773295.6	287319276.0
5055000000.0	273090177.9	268783503.6	287332913.8
5056000000.0	273101032.4	268793708.4	287346547.8
5057000000.0	273111883.6	268803910.1	287360178.1
5058000000.0	273122731.4	268814108.6	287373804.6
5059000000.0	273133576.0	268824304.0	287387427.4
5060000000.0	273144417.4	268834496.3	287401046.6
5061000000.0	273155255.4	268844685.4	287414662.0
5062000000.0	273166090.1	268854871.3	287428273.6
5063000000.0	273176921.6	268865054.2	287441881.6
5064000000.0	273187749.8	268875233.9	287455485.8
5065000000.0	273198574.7	268885410.4	287469086.4
5066000000.0	273209396.4	268895583.8	287482683.2
5067000000.0	273220214.7	268905754.1	287496276.3
5068000000.0	273231029.8	268915921.3	287509865.7
5069000000.0	273241841.7	268926085.3	287523451.4
5070000000.0	273252650.2	268936246.3	287537033.4
5071000000.0	273263455.5	268946404.0	287550611.7
5072000000.0	273274257.5	268956558.7	287564186.3
5073000000.0	273285056.3	268966710.2	287577757.2
5074000000.0	273295851.8	268976858.7	287591324.4
5075000000.0	273306644.0	268987003.9	287604887.8
5076000000.0	273317433.0	268997146.1	287618447.6
5077000000.0	273328218.7	269007285.2	287632003.7
5078000000.0	273339001.2	269017421.1	287645556.1
5079000000.0	273349780.4	269027554.0	287659104.8
5080000000.0	273360556.3	269037683.7	287672649.9
5081000000.0	273371329.0	269047810.3	287686191.2
5082000000.0	273382098.4	269057933.8	287699728.8
5083000000.0	273392864.6	269068054.2	287713262.8
5084000000.0	273403627.6	269078171.5	287726793.1
5085000000.0	273414387.3	269088285.6	287740319.7
5086000000.0	273425143.7	269098396.7	287753842.6
